Unnamed: 0,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year
90,Conditionality Package,DWP,Amber,"The DepartmentÂs Conditionality Package supports a core principle that underpins the GovernmentÂs welfare reform policies: increasing what is required of claimants in exchange for benefits, and strengthening how the Department monitors compliance with that increased conditionality.

The following conditionality and compliance measures make up the package:
1. Day One Conditionality Â claimants are required to demonstrate positive job seeking behaviours from day one of their claim by ensuring they have an e-mail address, high quality CV and are registered with Universal Jobmatch.
2. Weekly Work Search Reviews Â 50 per cent of pre-Work Programme Job Seekers Allowance (JSA) claimants and Universal Credit (UC) claimants are subject to intensive work search requirements.
3. Quarterly Work Search Interviews Â pre-Work Programme claimants in receipt of JSA, and UC claimants subject to intensive work search requirements, are required to attend a 20 minute advisory interview every 13 weeks. 
4. English Language Requirements Â claimants being screened to see if they can communicate in English (very basic speaking skills) and, as necessary, mandated to an assessment and English Language training. 
5. Increasing Lone Parent Conditionality for certain groups of lone parents aged 18 and over and nominated carers.
","An MPA review was completed in November 2014. The Delivery Confidence assessment reflects that: 
Â All previous MPA review recommendations have been implemented.
Â All Jobcentres were live with Day 1 Conditionality and Weekly Work Search Reviews and had achieved 50 per cent for Weekly Work Search Reviews by the end of October 2014. 
Â All of the other measures (Quarterly Work Search, Increasing Lone Parent Conditionality and English Language Requirements Â England only) were live from April 2014, with English Language Requirements going live in Scotland and Wales from 27 November 2014.   
",19/12/2013,23/04/2015,"With all measures in the SR13 Conditionality package now introduced, the Programme remains on plan to complete implementation.", 135.02m, 136.16m," 1,902.28m",,The Department will deliver the SR13 conditionality package within the agreed budgeted whole life costs (as set out in the business case June 2014) and this is managed within the framework of all labour market packages to monitor total performance against forecast. The whole life costs to 2023-24 include additional Jobcentre Plus advisers and Work Programme provider costs.,2015.0
91,Estates Programme,DWP,Amber/Green,"The Department established the Estates Programme in 2010 to support the efficiency challenge in SR10 and SR13. In February 2014, the ProgrammeÂs scope was extended to include work to replace the 20 year contract for DWP buildings, which expires in March 2018. ","A revised business case has been developed which outlines the potential reduction in estates demand and the associated people impacts.  The Programme has also taken steps to ensure its work is aligned with other transformation programmes, during a period of unprecedented welfare reform.  Regional teams have been put in place and are responsible for exploring the potential future estates blueprint in each of 7 regions across the country.  ",16/02/2012,31/03/2018,The Programme is on course to deliver its plans within timescales and budget. There are a number of complex issues that remain to be resolved and the Programme has a significant delivery challenge., 23.57m, 18.72m, 173.31m,"A number of offices that were planned for closure in 2014-15 will now close in 2015-16. 

",The whole life costs represent the business case funding requirements to deliver a new Estates Commercial vehicle beyond 31 March 2018. Following a Cabinet Office request the Estates Programme Business case has been updated (May 2014) to reflect the DepartmentÂs total Estates Strategy up to 31 March 2028. ,2015.0
92,Fit for Work (previously called Health and Work Service),DWP,Amber,"In January 2013, the Government published its response to a major review of the sickness absence system in Great Britain.  As part of this review the Government committed to:
Â The introduction of a new Fit for Work (FfW) service in England and Wales which will deliver both a supportive occupational health assessment and general health and work advice to employees, employers and General Practitioners (GP).
Â The delivery of enablers which allow the Scottish Government to implement FfW in Scotland.  This will provide advice on sick absence (via on-line and telephone) for employers and employees and an assessment service for employees on sick leave for four weeks or more.
Â The abolition of the Percentage Threshold Scheme (PTS) to address perverse behaviours among employers who rely on reimbursement through the scheme rather than actively managing sickness absence. The funding from the PTS will be recycled into FfW to support a proactive approach to sickness absence management. 
Â The abolition of Statutory Sick Pay (SSP) record keeping obligations, which will lift the administration burden off employers.

The legislative changes to PTS and SSP will be implemented by the Department, with the administrative changes to HMRC operational processes being made via a separate project in HMRC.
","As result of an MPA review, the Programme has reviewed its risk management process so that implementation related risks are discussed regularly, including at the Risk Review and Programme Boards.

The Programme, with the supplier, has ensured that there are robust integrated plans in place for the delivery of FfW which is monitored through regular checkpoint meetings and reviewed at Programme Board.

The Programme has established clear engagement strategies for General Practitioners, employers and employees; including clear responsibilities for each activity.  This is monitored through regular Communications Working Group meetings and through the Programme Plan.
",27/02/2013,31/03/2015,"The Fit for Work Programme is now expected to complete its work in October 2015; this is due to a phased implementation being agreed. 

The FfW Advice Service was introduced in Great Britain in December 2014.  The Assessment Service launched a small Proof of Concept in January 2015, prior to the launch of FfW in March 2015.  Our current planning assumption is that the Assessment Service will be rolled out across Great Britain by October 2015.

The Assessment Service went live in Scotland at the end of January 2015.
", 28.99m, 18.97m, 324.11m,"The  10m underspend reflects the set up and delivery costs in the finalised contract with the supplier of the new Fit for Work Service in England and Wales, which take account of the build-up of customer volumes over initial stages and the corresponding output payments.   ","The budgeted whole life costs of  324m reflect the business case as at July 2014 and largely cover on-going supplier costs to deliver the Fit for Work Service in England and Wales, and costs to support the provision of the Service in Scotland.  ",2015.0
93,"Fraud, Error and Debt Programme",DWP,Amber,"The Fraud, Error and Debt Programme aims to deliver into the Department the means to prevent fraud and error in the first instance; detect and correct fraud and error where it does exist; deliver tough punishments for those who defraud the system; and deter those who would try to abuse the system in future.
The objectives of the Programme are to: 
Â Save approximately  2 billion in welfare benefit expenditure by the end of the 2014-15 financial year.
Â Contribute to the DepartmentÂs target to reduce the level of benefit expenditure overpaid to a maximum of 1.7 per cent by 2015.
Â Deliver a single fraud investigation service as a more efficient way of carrying out benefit fraud investigations currently processed separately by DWP, HMRC and Local Authorities.
Â Introduce the capability for a range of business users across DWP to access HMRC Real Time Information on earnings and employer data;.
Â Deliver a referral and case management system to support improved Fraud, Error and Debt Operations.
Â Enable the Government to recover greater levels of debt, and ensure those who move off benefit can still be liable for their debt.
The Programme is adopting a phased delivery approach between 2012 and 2017 and will continue to build on the successful ""Spend to Save"" data matching activity which is well underway to ensure a sustainable reduction in losses in the benefit system. The Programme generated  1.8 billion in savings up to the end of September 2014, and will realise further savings through the life of the programme business case.

","The Programme had an MPA review in November 2014. This recognised the good governance processes in place and the significant progress made by the Programme in the last year. The review team stated that it was particularly impressed by the ProgrammeÂs benefits management, describing it as Âan exemplar across governmentÂ. ",02/04/2012,31/03/2017,"A number of new initiatives have been added to the Programme. This change in scope, along with dependencies with other programmes, has resulted in a change to the delivery schedule, including moving the end date of the Programme to 2017. These new initiatives will deliver further fraud, error and debt savings for the taxpayer.", 111.30m, 98.81m, 838.90m,The overall reduction in forecast against budget is largely attributable to changes in the level of resource that the Programme has needed to deploy against the original resource estimates together with changes in the forecast level and timing of IT expenditure. ,"The budgeted whole life costs are based on the business case as at June 2014 and include changes to the scope of the Programme. The whole life costs to 2021-22 include implementation and running costs of a Single Fraud Investigation Service, a number of Spend to Save projects, and changes to Fraud Sanctions and Debt Recovery initiatives.    ",2015.0
94,Help to Work Package,DWP,Amber,"The DepartmentÂs Help to Work Package supports the GovernmentÂs principle that the longer a jobseeker remains on JobseekerÂs Allowance or Universal Credit (for claimants subject to intensive work search requirements), the more the Department will expect of them to look for and secure suitable employment.  

A new package of Help to Work measures went live in every Jobcentre by 31 December 2014. One third of claimants returning from the Work Programme  will be allocated to one of the following 3 elements depending on individual need:
Â Mandatory Intervention Regime (MIR) Â coaches have more time to spend with claimants, and can use other support such as referral to training, local provision and using the flexible support fund. This will be a continuous period until the claimantsÂ barriers to employment have been addressed; claimants who have completed the other two elements will also be referred back to MIR.
Â Daily Work Search Reviews Â a period of 4-13 weeks of daily activity at the Jobcentre.
Â Community Work Placements Â a work placement that is of benefit to the community for up to 30 hours per week, and up to 10 hours of job-search activity. 
","An MPA review was completed in November 2014.
The delivery confidence assessment reflects that:
Â All previous MPA recommendations have been implemented.   
Â All Jobcentres were live with all Help to Work measures by 31 December 2014.
Â Management Information reports that have been produced have been tested and confirmed as fit for purpose.
Â Robust contract management is in place.",19/12/2013,23/04/2015,"With all elements now introduced, the Project remains on plan for full delivery.", 127.25m, 130.96m, 695.66m,,The Department will deliver the Help to Work package within the agreed budgeted whole life costs (as set out in the business case May 2014) and this is managed within the framework of all labour market packages to monitor total performance against forecast. The whole life costs to 2019-20 include additional Jobcentre Plus advisers and Work Programme provider costs.,2015.0
95,IT Transformation Programme,DWP,Amber/Red,"This programme will transform the DepartmentÂs major commercial vehicles for delivering IT services, as they come to an end between 2014 and 2016.

The objectives of the Programme are to:
Â Ensure continuity of supply of IT to the Department.
Â Reduce the cost of IT provision relative to the cost of replacing the contracts.
Â Improve responsiveness and service levels delivered by our suppliers.
Â Maximise future flexibility and avoid lock-in to any supplier.
Â Maintain a strong in-house capability to acquire and manage critical IT services.
Â Extend the DepartmentÂs deals to other Government Departments.
Â Introduce smaller companies into the IT supply chain.
Â Ensure compliance with Government ICT Strategy;
Â Optimise commercial outcomes by seeking the best deal for the Department overall
",The Programme has taken action against the nine recommendations the MPA made in October 2014 with seven of the nine recommendations having been cleared by February 2015. Recent confirmation of the ProgrammeÂs strategic direction will enable the outstanding actions relating to programme plans and dependencies to be resolved quickly. ,01/04/2013,28/02/2016,"A number of contracts have been successfully re-competed resulting in savings over existing arrangements, notably Security and Networks. The remaining activity is continuing to plan with a number of contract extensions agreed to facilitate safe transition to the new services as they go-live.", 36.50m, 30.40m, 165.50m,The forecast has reduced due to a revised strategy for IT Hosting. ,The whole life costs fund the cross functional team negotiating the replacement of IT contracts. In addition there are costs associated with exiting the existing contracts and start-up costs for the new IT providers. The budget reflects the business case as at April 2014.,2015.0
96,New State Pension Project,DWP,Amber,"The Project will deliver the reforms to State Pension included in the Pensions Act 2014.

These reforms are designed to give greater clarity about the State Pension someone can expect to receive from the Government, address some inequalities in the current system and provide a firm foundation for saving for retirement for people reaching State Pension age from 6 April 2016.

Changes include removing the complexities of the current system by moving to a single state pension set above the level of the basic means tested benefit. This together with abolition of the Savings Credit will provide todayÂs savers with greater clarity about what they will receive from the State.  It also reduces the number of people reliant on the basic means test. The Department is also abolishing contracting out from defined benefit pension schemes. To ensure fairness the calculation of new State Pension will recognise pre 2016 National Insurance records.

The Department leads the Project, working closely with HMRC to deliver the necessary changes to systems and processes.

The Project will ensure staff in both the Department and HMRC are equipped to deliver the reform and that the changes are communicated to current and future pensioners, employers, trustees and scheme providers at the appropriate time
","An MPA Review in January 2015 made a number of recommendations that were accepted and are currently being addressed. The review acknowledged that:

Â The Project has developed, in partnership with HMRC, an integrated IT plan that encompasses the full programme of pension changes.
Â The Project is now fully constituted with appropriate governance and an experienced project team in place.  
Â The Detailed Business Requirements have been defined and agreed ready to move into the build and test phase in readiness to deliver the IT changes in October 2015 to meet the April 2016 policy implementation date.
Â The Project has implemented an integrated communication campaign to inform existing and future customers what to expect. A bespoke statement service has been set up for future customers, who are within 15 years of their state pension age to find out what they will get under the new rules. This service will subsequently be replaced by a new Digital Statement service which is currently being developed in parallel as a separate project and jointly with HMRC. 
",27/02/2012,31/10/2017,"All plans are on track and there is no deviation from the planned schedule. Go-live is due in April 2016 with the main enabling IT release scheduled for October 2015. 

In January 2015 the Project achieved a major milestone in signing off its design and IT requirements and gaining approval from HM Treasury and the Cabinet Office to move into the detailed build phase. 
", 19.87m, 19.87m, 168.16m,,"The ProjectÂs whole life costs are forecast to reduce as IT costs for the Department and HMRC are expected to be lower. Over the business case lifetime to 2022-23, the costs include operating staff in both departments, IT, Communications and project delivery costs. The budget was updated in September 2014.",2015.0
97,Personal Independence Payment Programme,DWP,Amber/Red,"Personal Independence Payment replaces Disability Living Allowance for people aged 16-64. It is aimed at those disabled people who face the greatest challenge to remaining independent and participating in society. It provides a more objective assessment of needs and is more responsive to changes in those needs. Claimants can receive PIP whether they are in or out of work. The benefit is not means tested.  

Key features include:
Â A dynamic benefit which is simpler to claim and administer.
Â A more financially sustainable benefit than DLA that delivers significant AME savings over the life of the investment.
Â A standardised Operating Model that efficiently matches the service to claimantsÂ needs.
Â New IT and business processes to enable the application and administration of this new benefit.

The first tranche of activity to accept new claims to PIP commenced in April 2013. 

In October 2013, further activity commenced to assess DLA claimants for entitlement to PIP when their DLA award ends or they notify the Department of a change.

In October 2015, activity to assess all other existing DLA claimants is planned to commence. 
","The Programme had an MPA review in November 2014 which recognised the significant improvements made since the previous review in May 2014.

Improvements to processes, IT and increased capacity have resulted in productivity increases and greater flexibility for Assessment Providers and the Department. These changes have resulted in a significant increase in clearance of applications to PIP, evident in  the statistics published in January 2015. 

The Programme continues to develop its approach for transforming and improving the PIP service, including the introduction of online services. 
",31/10/2011,31/03/2016,The Programme has been developed in a number of phases which are on track to deliver. The handover to business as usual will be planned post commencement of the reassessment of the existing DLA caseload in October 2015.  , 231.48m, 303.61m," 2,525.94m",The 2014-15 budget is derived from the February 2014 business case. IT was updated to reflect the ProgrammeÂs aim to improve performance and clear backlogs. The variance against the actual budget allocation in January 2015 was less than 1%.  ,"The costs cover both investment and operating costs (including IT systems, Operational and Programme costs) over the business case period (i.e. to 2021-22 inclusive). These costs are significantly outweighed by reductions to Annually Managed Expenditure over the same period.",2015.0
98,Universal Credit,DWP,Amber/Red,Universal Credit (UC) involves the merger of six separate benefits and tax credits for working age people bringing together in and out of work systems into one system that attempts to make work pay for everyone. When fully rolled out it is expected that over 7 million households will be in receipt. Legislated for in 2012-13 it has now entered implementation phase.,"The Programme's delivery plan was announced in September 2014. At the same time HM Treasury agreed the Strategic Outline Business Case.  It set out an approach which reduced risk across the lifetime of the Programme. These plans were developed and agreed with delivery partners, including Local Authorities and HMRC.  The plans included:
Â Continued expansion of the existing UC service to the whole of the North West by December 2014.
Â Extension of this Live Service to include families by March 2015.
Â Introduction of UC to single claimants nationally throughout 2015-16 .
Â A controlled test of the UC Digital Service commencing on 26 November 2014 in a single postcode area testing UC for all claimant types
Â Establishing a UC service across Great Britain by 2017 with the caseload continuing to build thereafter.
",17/11/2011,30/04/2020,"Delivery remains on track against plans announced in September 2014. Additionally the Programme has brought forward testing of initiatives from which the programme can learn including the:
Â Continued trialling of Universal Support in partnership areas to ensure the right integrated local foundations are in place to support UC expansion.
Â Extending In work progression trials to help households increase their earnings once they have found work.
Â Extending the role of UC Work Coaches to engage with households at their work search interview to assess financial capability
", 323.80m, 323.80m," 15,844.02m",n/a ,The budgeted whole life costs reflect the Strategic Outline Business Case approved by HM Treasury. This figure excludes the impact of further savings expected to be delivered by the Programme.,2015.0
99,ABUJA: New Office and Residence,FCO,Amber/Green,"To provide fit for purpose and secure offices for the British High Commission (BHC) and DfID in Abuja, Nigeria.  The existing Chancery and unclassified offices are located in split locations, both of which are rented and were opened in 1991 as a 'temporary' solution.   Since then Abuja has firmly become established as the administrative capital of Nigeria and it has been the FCO's intention for some time to have offices that are fit for purpose for the next thirty years, that comply with current FCO security standards and provide an effective platform for a wide cross-section of UK government departments.  Nigeria is one of the FCO's significant priority countries in Africa and presents a unique mix of threats and opportunities for UK interests.    The analysis of the business case options clearly shows that the way to achieve our medium and long term aims in Nigeria is by building new premises on the UK-designated plot leased in 1991 from the Nigerians.   Following the bombing of the UN building in Abuja on 26 August 2011, the FCO Overseas Security Adviser recommended evacuating Dangote House (u/c offices).  Estates and Security Directorate have completed an emergency project to relocate the UKBA and Corporate Services office staff to offices created by converting existing gym and club facilities and three staff houses at one of the staff residential compounds.  It remains the case that the increasing clear and present danger to our staff working in the region is bringing intense pressure for the new BHC office scheme to be moved forward along an accelerated timescale. ","The project continues to be run under the FCO approved IAAP process with regular governance meetings, risk and status reviews.",01/01/2011,01/12/2017,The project is currently on schedule., 19.89m, 19.89m, 46.00m,Budget variance less than 5%,Budgeted costs remain as approved by MPA/HMT at outline business case stage,2015.0
100,ICT Re-procurement,FCO,Amber/Red,"To maintain continuity of the following business critical ICT services as the existing contract expires by procuring new contract(s):
- Firecrest: FCO's Microsoft based global desktop infrastructure (DI) and management contract with Hewlett Packard (H-P). Expired in Feb 2012 . 
- Service & Management Integration (SMI) supplier to manage the FCO's ICT contracts  on the FCO's behalf.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  The Programme was established to prepare for and carry out the necessary procurement activity, put in place and transition to the DI and SMI contracts, maintain service continuity, enhance the systems and services and deliver significant cost savings in doing so.            

                                                                                                                                                                                                                                                                                                                              ","Although some progress has been made against the Gate 4 Action Plan, the suppliers' transition plans have been revised and are currently showing completion in late April 2015 (SMI) and July 2015 (DI). In addition, the FCO is currently seeking approval to embark on a major Technology Overhaul (TO) of its ICT infrastructure. The full impact of TO on the DI and SMI contracts is still to be confirmed pending completion of the TO business cases and associated approvals. ",01/01/2011,30/11/2013,The project end date reported above is a forecast based on suppliers' latest transition plans and project closure activities. The SMI is currently on schedule to complete its transition by end-April 2015. For the DI this is currently scheduled to be completed by end-July but its plan is in the process of being re-baselined as at the publication date for this return.  , 53.40m, 49.80m, 242.10m,"The above forecast underspend against the full business case budget provision is due to a combination of operational savings achieved from the new DI/SMI contracts and changes in the profile of investment in ICT infrastructure. However, these figures are in the process of being updated in light of the latest spend forecasts and significant changes to due to Technology Overhaul.","The whole life costs include transition costs, operational costs and investment in the ICT infrastructure.

A number of changes have yet to be incorporated in the figures above e.g. an increase in capitalised transition charges; accelerated stand-up of certain operational services and increased scope; and drawdown of additional project services. 

As noted above, these figures do not adjust for the impact of the wider Technology Overhaul project portfolio on the DI/SMI contracts currently going through the approvals process. ",2015.0
101,Overseas Healthcare Provision,FCO,Amber/Green,"The aim of the project is to ensure the continuation of healthcare to NHS standards from 1 April 2015 for HMG staff posted overseas and their dependants and for staff based in the UK who travel overseas on official business.

Following an EU open procurement exercise, a new contract has been awarded to  Healix International.   Five additional Government departments have joined the scheme so the numbers of staff and dependants covered by the contract have increased from 14,000 to 23,000 .
 The contract will provide medical clearance, case management, access to medical care and medical advice. The FCO and other participating Departments  pay actual medical costs as they are incurred.  

","Following the review, the Full Business Case was developed further as recommended and subsequently received approval from HM Treasury and Cabinet Office.  Further work has since been done on Benefits and Key Performance Indicators.  Government departments are continuing to work well together on implementation including sharing of best practice.",26/09/2013,01/04/2016,The project went live on 1st April as planned., 0.09m, 0.09m, 55.99m,Budget variance less than 5%,The whole life costs are made up of two parts: i) the management fee payable to Healix over the five year period.  This is fixed for the first three years and limited to CPI increase for the optional  final two years; ii) estimated costs for medical treatment and associated travel over five years.  Medical costs will vary from year to year according to clinical need so cannot be precisely estimated but we have based this estimate on  average costs incurred per person over the first four years of the previous contract.  ,2015.0
102,UKERP,FCO,Amber/Green,"The FCO wants to maximise the efficiency of its London estate by consolidating its core activities into the Main Building on King Charles Street (KCS). This will support the wider Cabinet Office strategy of consolidating the HMG Estate in Central London. It will free up the Old Admiralty Building (OAB) freehold for other Government Department use. There are significant savings for the FCO on operating costs and for the wider Government on lease rentals. This UK Estates Reform (UKER) project is a catalyst to provide a more modern working environment for FCO staff, to help deliver Diplomatic Excellence, to embed flexible working, and to drive efficiency across the FCO. The FCO must also introduce a new High Classification IT system by 2014, which will involve making a significant part of the KCS building secure releasing OAB for another HMG department.","The project continues to be run under the FCO approved IAAP process with regular governance meetings, risk and status reviews.",01/06/2011,01/08/2016,The project is currently on schedule., 22.04m, 22.04m, 64.95m,Budget variance less than 5%,Budgeted costs remain as approved by MPA/HMT at outline business case stage,2015.0
103,Debt Staff Reinvestment,HMRC,Green,"This investment of staff represents the continuation of our existing operations, but increases the resource deployed on debt collection by 909 FTE over the proposed SR10 reduced resource baseline. Benefits are calculated against the SR10 reduced resource baseline as the counterfactual.  
Investing staff back into our more efficient and effective debt collection model results in additional receipts in the consolidated fund of  1108m over the SR10. 
Even with this investment, DMB will deliver a 9% net FTE reduction across the SR10 period as well as the additional receipts detailed above.
The majority of investment ( 56.3m) is paybill with a small amount of capital and resource to enable the transfer of staff into DMB. Operational planning with this investment scenario has demonstrated no scale up costs elsewhere.",Debt Management and Banking resources are being maintained within operational tolerances with key performance indicators showing strong delivery across the business.,01/04/2011,01/04/2015,Data not provided by department, 22.54m, 22.54m, 56.42m,Budget variance less than 5%,Data not provided by department,2015.0
104,Digital Solutions Portfolio,HMRC,Amber,"HMRC's Digital Portfolio will deliver new and enhanced online services for Individuals, Business customers and the Agent community. 
The Programme will support the delivery of HMRC's Digital Strategy and the introduction of the Cabinet Office new Identity Assurance Strategy by delivering:
- HMRC's four Exemplar Digital Services - PAYE for Employees (formerly PAYE Online), Digital SA, Your Tax Account (formerly Tax for My Business) and Agents Online. (The Agent Online Service (AOSS) is a Digital Exemplar but does not form part of this report.)
- Underpinning digital capability that will provide HMRC with the capability to respond at pace to change, including the introduction of iforms
- New IDA process through PAYE for Employees and our Corporate solution for Business customers. 

The ambition of the revised 2 year Digital Roadmap goes significantly beyond the scope of the digital exemplars and allows us to meet the commitments made by the Department.
","Two of our four digital exemplars, Your Tax Account and Digital Self-Assessment, moved into Âpublic betaÂ (opening  the service to the wider public whilst continuing to ask for feedback on how it can be improved) on 27th May 2014.

Pay As You Earn (PAYE) for Employees (formerly PAYE Online) is ready for public beta. Due to the dependency on the Government Digital Service IDA (Identity Assurance) for Citizens, PAYE will move into public beta mid October 2014.
",14/11/2012,05/04/2015,Data not provided by department, 33.41m, 28.86m, 116.70m,The variance is due to delivery of the Whole Customer View Project (Bringing together all of the data we hold on our business customers into a single place)  being re-planned into 2015/16.,The whole life costs have changed since the publication of HM Revenue & Customs Government Major Projects Portfolio data 2013  due to a change  in scope and delivery methods.,2015.0
105,Expanding the use of Debt Collection Agencies,HMRC,Green,"This investment to extend the use of Debt Collection Agencies represents a continuation and expansion of our existing operations. (Departmental funding restrictions had meant there would be no DCA activity planned beyond 2010/11 without investment.)  It provides additional debt collection capability and capacity to allow more debts to be tackled quicker and more effectively, change the behaviours of more customers and generate more revenue.","Debt Collection Agencies programme activity treated as business as usual by DMB.Â  The Debt Market Integrator go live has been delayed and as a result DMB will be looking at extending the Debt Collection Agencies contracts. We have reprofiled the 14/15 Work Programme that identifies debts that are suitable to place in the Debt Collection Agencies process. This takes into account the delayed start for the Debt Market Integrator, to ensure we fully utilise the private sector to maximise the capacity available in order to address the debt balance. We are working to reprofile the benefits and costs.",01/04/2011,31/03/2015,Data not provided by department, 14.49m, 14.12m, 69.29m,Budget variance less than 5%,Data not provided by department,2015.0
106,One Click,HMRC,Amber/Green,"The One Click Programme of work is made up of 6 projects; Start-up hub, the Tax Dashboard, the Online Tax Registration Service (Registration Wizard), iforms, Transaction Monitoring and VAT Registration Transformation. One Click brings many Tax services (CT, ITSA, VAT and PAYE) that businesses need together in one place, online. Focuses on key events in a business' lifecycle, with information for pre-start ups, a single place to register for business taxes and a self serve facility to view and update details online.",VAT Registration Transformation (VRT) the final delivery of the One Click programme has taken place. The One Click programme full business case will be finally updated following completion of work on the actions arising from the VRT project post implementation review. Work on formal closure of the VRT project and One Click programme are underway. ,24/03/2010,16/10/2013,Data not provided by department, 8.65m, 8.73m, 111.06m,Budget variance less than 5%,Data not provided by department,2015.0
107,Organised Crime,HMRC,Amber/Green,"The Organised Crime Project will have a significant impact on the Organised Crime segment of HMRCÂs Customer-Centric Strategy.  The key aim is to prevent, disrupt and reduce deliberate, systematic and large scale attacks by Organised Criminal Groups (OCGs), estimated to cost HMRC between  5bn to  7bn per annum. The threat from OCGs is evolving and we need to prevent significant attempted fraud just to maintain losses at their current level. The project will deploy approximately 500 FTEs across a range of new and established interventions to target organised criminals including; joint working with the Border Force (BF), the Crown Prosecution Service (CPS) and expanding our Fiscal Crime Liaison Officer (FCLO) Network to increase cooperation with foreign administrations. We are also an instrumental part of the Cross Government Strategy to tackle Cyber Crime. We aim to address the threats at each stage of the illicit Âsupply chain,Â improving capabilities in intelligence, civil and criminal investigations. The Project is structured to address the main threats which come from VAT Missing Trader Intra-Community (MTIC), repayment and registration fraud, diverted alcohol products and cigarette and tobacco smuggling. 
During 2012-15 we will change our approach to organised crime to target the key individuals behind the fraud using new intelligence gathering methods and new technology capabilities that will support this approach.","Results for the first part of 2014-15 have exceeded the forecast. The programme are seeking to establish the confidence levels in the year end forecast.

",01/11/2010,30/06/2014,Data not provided by department, 22.04m, 21.73m, 74.70m,Budget variance less than 5%,Data not provided by department,2015.0
108,Real Time Information (RTI),HMRC,Amber/Green,Real Time Information is the next stage of improving PAYE through the use of real time information.  It will deliver a series of projects to implement measures designed to improve the efficiency and effectiveness of the PAYE system.  This will underpin the introduction by the Department for Work and Pensions of the Universal Credit regime.,"Additional IT changes were successfully delivered in the Summer of 2014. 

A phased approach to the implementation of in-year late filing penalties from October 2014 was approved at the July Programme Board meeting.  In-year late filing penalties for large and medium employers will commence in October 2014 and small & micro employers will commence from March 2015. Activities to support this approach are progressing well. Activities are also on-going to support the implementation of in-year late payment penalties from April 2015.
",05/07/2010,30/06/2015,Data not provided by department, 45.87m, 45.70m, 333.02m,Budget variance less than 5%,Data not provided by department,2015.0
109,Tax-Free Childcare,HMRC,Amber/Red,"At Budget 2013, the Government announced the introduction of Tax-Free Childcare to benefit and support up to 1.9m working families. The Government will provide 20 per cent of working familiesÂ childcare costs, subject to an annual limit of  2,000 contribution from the Government for each child. This is equivalent to basic rate tax relief of childcare costs up to  10,000 a year. The projects aims are to implement this policy.","The main drivers for the RAG status are the challenging delivery timeline set alongside a legal challenge from voucher providers in the existing employer supported childcare scheme to the decision to appoint National Savings and Investment as the childcare account provider for Tax-Free Childcare.

",01/08/2013,01/12/2015,Data not provided by department, 30.40m, 19.07m, 31.79m," Forecast spend was below budget due to the legal challenge imposing a suspension on the work that could be taken forward with National Savings and Investment.

",The budgeted whole life cycle costs represent funding for the early development stages of the project only (13/14 and 14/15 costs) based on the delivery of childcare accounts in partnership with National Savings & Investment.,2015.0
110,Volume Crime,HMRC,Green,"HMRC is revising its approach to tackling fraud in the Rule Breakers customer group, increasing the number of criminal investigations and subsequent prosecutions in this group. This approach is called Volume Crime and will: deter rule breakers and potential rule breakers from fraudulent behaviour; enhance the effectiveness of civil interventions by evidencing the downsides of non-compliance; and show HMRC is relentless in pursuit of those who break the rules.  The Volume Crime project aims to significantly increase productivity and resources deployed to criminal investigation. 240 staff years will be deployed as a result of this project in Criminal Investigation and associated Risk and Intelligence Service functions, with prosecution numbers rising through the SR10 period to an additional 1,000 prosecutions delivered per year from 2014/15. The considerable increase in activity in the rule breakers segment increases the perceived risks to potential rule breakers and thus deters individuals from going down the path of tax evasion and therefore an increase in ""voluntary compliance"" due to the deterrent effect. 
The project is currently creating a research programme to measure this deterrent effect.","Benefits over the SR10 period are set to total  1,341.3m against a business case total of  1,310m.",01/04/2011,29/05/2013,Data not provided by department, 11.05m, 11.02m, 42.05m,Budget variance less than 5%,Data not provided by department,2015.0
