year;project_number;project_name;department;report_category;description_aims;colour_rating;rating_comment;start_date;end_date;schedule_comment;total_baseline;yearly_forecast;variance_comment;wlc_baseline_incl_NCG;budget_comment
2021;MOD_0115_1718-Q2;Mechanised Infantry Programme;MOD;Military Capability;The Mechanised Infantry Programme will deliver modern wheeled Armoured Personnel Carriers that can perform a range of roles to support the Infantry, Combat Support, and Combat Service Support  elements across new Brigade Combat Teams - a new concept emerging from the Integrated Review.  The vehicles will be a significant contributuion to enabling a highly deployable, networked force to operate differently from conventional industrial age combat forces, offering unique competitive advantage whether fighting, peacekeeping or delivering humanitarian aid.;Amber/Green;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber to Amber/Green. This is primarily due to the following factors: 

The September 2019 Infrastructure and Projects Authority report recommended the Delivery Confidence Assessment should be Amber Green if the Main Gate Business Case approval was achieved by the end of that year, which it was.  Subsequently, the Programme is progressing well.

Further opportunity to accelerate, uplift and enhance the programme to implement Integrated Review decisions are being explored, and will be added to the programme baseline when finalised and approved. An export bid is also being explored jointly with industry and wider government.";2017-10-27;2032-12-31;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 December  2032  . This is primarily due to the following factors: ;£68.44;£123.52;"The budget variance exceeds 5%. 
The quoted figures relate to the approved approved Whole Life Costs to 32/33. 

The main changes are the re profiling adjustments made within the financial year as follows:

Reprofiling declared at Programme Cost Review 2, 2020 and remainder at Accounting Period 0, 2020/21. 

ARTEC BOXER Production Contract - Reprofile of funding to Financial Year 2020/21 previously profiled in future years.

This is due to more accurate task level information supplied by the contractor following contract award

Re-profile of ARTEC forecast following provision of further refined Earned Value Management data from industry showing accruals profile updated for realism and accuracy. Key activities now profiled in year include Critical Design Review, Manufacturing Management and Technical Decision support";£3,963.56;"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost decreased from 4663.30m to £3963.56m. This is primarily due to the following factors: 

The Whole Life Budget c.£4Bn is for the Main Gate Approved period to 32/33. It includes Approved, Unapproved values and sunk costs. The VAT element was removed from the profile and the Annual Budgeting Limits adjusted to reflect this adjustment.

To note, the whole life costs for the programme have not increased as a result of this change."
2021;MOD_0124_2021-Q4;Mine Hunting Capability;MOD;Military Capability;"The Mine Hunting Capability Programme will provide an agile, interoperable and survivable capability using emerging Maritime Autonomous Systems that enables strategic, operational and tactical freedom of manoeuvre and exploitation of the battle space in order to assure and sustain the delivery of Maritime Force Projection and Maritime Security capabilities at the time and place of the United Kingdom's choosing across the range of Standing Commitments and Operations, by: 
Defeating static underwater threats; 
Collecting, processing and disseminating oceanographic intelligence.";Amber/red;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/red.This is primarily due to the following factors: 

Following approval of the Outline Business Case in Q4 2020, the main contracts were placed for Block 1 Mission Systems. These are due to reach initial operating capability in 2024 and are on track to do so. 

At the end of 2020, the Senior Responsible Owner-ship of Mine Countermeasure and Hydrographic Craft Capability was transferred to the new Navy Acquisition Directorate. The Senior Responsible Owner is being supported on a ""best efforts"" basis by the Navy Equipment and Systems Portfolio Management Office organisation pending approval to recruit a Programme Management Team to support this programme. The risk to programme delivery has thus increased owing to limitations in the capacity to mature programme controls and governance.";2014-10-01;2030-06-30;"The project end-date is 30 June 2030. This is primarily due to the following factors: 
The schedule is broadly on track. There are some risks around industry delivery dates which are being closely managed by the team and the impacts can currently be managed within the schedule.";£20.37;£19.20;The budget variance exceeds 5%. Some modest investment has been made to initiate this programme, the business cases that will set out the required level of investment and budgetary requirements are being developed at pace.  This will be disclosed to a public audience if it is appropriate to do so while respecting any commercial or security sensitivities.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.
2021;MOD_0110_1718-Q1;MODnet Evolve;MOD;ICT;MODNET Evolve will sustain the essential base Information and Communications Technology  infrastructure needed by the Ministry of Defence on exit from the current contract.;Amber/red;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber/red. This is primarily due to the following factors: 

The Skills, Capability and complexity of Dependencies across the Programme results in a Delivery Confidence assessment being held at Amber/Red.

The resourcing of the Future Secret project remains a risk, but the approval of the Strategic Outline Case will help address this early in the next quarter.

A number of successes have occurred across the Programme in this reporting period: 

Approval of the Strategic Outline Case for Future Secret; 
Release of the Invitation to Negotiate for End User Services;
and an Invitation to Tender for Managed Print and Electronic Records Management. 


COVID-19 - Has not impacted the MODNet Evolve main delivery however it is presenting challenges to the Future Operations Service Management delivery.";2011-01-01;2026-11-30;"Compared to financial year 19/20-Q2, the project's end-date increased from 11 July 2022  to 30 November 2026 . This is primarily due to the following factors: There were dates presented in the 19/20-Q2 transparency return referring to a project end date of 11 July 2022. The dates presented related to the end of transition from the current contract to new services. 

The scheduled baseline programme end date remains at 30 November 2026. However, the following are areas of risk for the baseline programme end date:

Supplier requests to extend the End User Services procurement window have pushed the dates outside of their current time approval. This was formally accepted since maintaining a viable competition was key to success for End User Services.

Similar delays have impacted Records Management and Managed Print procurement, these projects currently remain within their approvals envelope. Changes to the Defence Digital strategy for Performance and Cost is driving a change to  the commercial approach. This will mean a cheaper outcome and support services transitioning from the current contract. 
";Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.
2021;MOD_0125_2021-Q4;New Medium Helicopter;MOD;Military Capability;The UK government published the outcome of its Integrated Review of Security, Defence, Development and Foreign Policy on 16 March 2021.  In its accompanying Command Paper published on 22 March 2021, the Government announced that investment in a new medium lift helicopter in the mid-2020s will enable a consolidation of the Army's disparate fleet of medium lift helicopters from four platform types to one.  Work is now underway to develop the strategic options for this programme and at pace, but at this stage the full scope, cost and timescales for delivery are not yet available.;Amber;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber.This is primarily due to the following factors: 

As this stage a prudent Delivery Confidence Assessment of Amber is warranted as the supporting evidence and detail that demonstrates the most suitable capability for Defence, provides value for money, and can be delivered within expected timescales is being developed.  It is only when this is in place can a justifiable delivery confidence assessment be made.";2021-04-30;2036-03-31;"The project end-date is 31 March 2036. This is primarily due to the following factors: 
The estimate of programme closure has been made on rough order of magnitude and assumptions from other procurement activities of this type.  As the work in this area matures a risk adjusted schedule will be available and will better inform Programme closure timelines";£0.00;£0.00;Some modest investment has been made to initiate this programme, the business cases that will set out the required level of investment and budgetary requirements are being developed and at pace.  This will be disclosed to a public audience if it is appropriate to do so while respecting any commercial or security sensitivities.;£0.00;The GMPP project did not provide data
2021;MOD_0101_1516-Q1;New Style of Information Technology (Base);MOD;ICT;To deliver a cost-effective and modern New Style of Information Technology across the Defence estate.;Amber/red;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber/red. This is primarily due to the following factors: 

There is delay in delivering MODNET(Secret) and sustainment of MODNET services will be required beyond the end of the current contract. 

The programme team are focussed on sustaining MODNET services until a safe exit from these services can be achieved, whilst mitigationing against the risk that some services may be lost when the contract expires. In addition, the team continue with the rollout of MODNET(Secret).";2015-04-01;2021-03-31;"Compared to financial year 19/20-Q2, the project's end-date decreased from 30 September 2021  to 31 March 2021 . This is primarily due to the following factors: 

The availability of specialist programme resources, and the need to iterate requirements has resulted in the MODNET Evolve contracting period taking longer to deliver than originally planned.  These issues have now been resolved and plans are in place to transition to the new services.  However, there remains a risk that all services may not be delivered by March 22 and action may need to be taken to sustain the current services.  Work is currently ongoing to identify mitigation for this risk. 

Continued impacts from Covid-19 may affect the end date of March 22.

The Programme Team are working closely with the Head Office to put in place plans to address these issues should the need arise and to sustain MODNET services until a safe exit from these services can be achieved.

";Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.
2021;MOD_0126_2021-Q4;Next Generation Communications Network;MOD;ICT;The Next Generation Communications Network  programme is responsible for delivering the Ministry of Defences's future network in support of the Digital Backbone as well as ensuring that the Ministry of Defences's fixed network continues to function to agreed standards of resilience and performance during the bridging period until the Programme delivers its replacement services and solutions.;Amber/Green;"The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber/Green.This is primarily due to the following factors: 

The Next Generation Communications Network programme is currently in the Concept Phase and it's Strategic Outline Case Outletter was received in April 2021. 

The programme team will be submitting a detailed Outline Business Case in October 2021 that will lay out firm objectives, and evidenced views on choices, preferred options, commercial strategy, costs and scope.";2021-03-31;2031-03-31;"The project end-date is 31 March 2031. This is primarily due to the following factors: 
The Next Generation Communications Network programme is currently in the Concept Phase and it's Strategic Outline Case  Outletter was received in April 2021. 

The programme team will be submitting a detailed Outline Business Case in October 2021 that will lay out firm objectives, and evidenced views on the programmes choices, preferred options, commercial strategy, costs and scope.";£0.00;£0.00;"The Next Generation Communications Network programme is currently in the Concept Phase and it's Strategic Outline Case Outletter was received in April 2021. 

The programme team will be submitting a detailed Outline Business Case  in October 2021 that will lay out firm objectives, and evidenced views on the programmes choices, preferred options, commercial strategy, costs and scope.

Therefore no cost data present at this stage.";£0.00;"The Next Generation Communications Network programme is currently in the Concept Phase and it's Strategic Outline Case Outletter was received in April 2021. 

The programme team will be submitting a detailed Outline Business Case in October 2021 that will lay out firm objectives, and evidenced views on the programmes choices, preferred options, commercial strategy, costs and scope.

Therefore no whole life cost data at this stage."
2021;MOD_0038_1112-Q1;Nuclear Warhead Capability Sustainment Programme;MOD;Military Capability;To deliver and sustain the capability (skills, technology, science, personnel, production and support) to underwrite the UK nuclear warhead stockpile now and in the future.;Exempt under Section 24 of the Freedom of Information Act 2000 (National security);Exempt under Section 24 of the Freedom of Information Act 2000 (National security);2008-04-01;2025-04-30;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 30 April  2025  . This is primarily due to the following factors: ;£1,134.23;£1,077.91;The budget variance is less than or equal to 5%. ;£19,984.43;Exempt under Section 27 of the Freedom of Information Act 2000 (International relations)
2021;MOD_0128_2021-Q4;Project Bramley;MOD;ICT;Exempt under Section 24 of the Freedom of Information Act 2000 (National security);Exempt under Section 26 of the Freedom of Information Act 2000 (Defence);Exempt under Section 26 of the Freedom of Information Act 2000 (Defence);2017-03-31;2030-03-31;Exempt under Section 26 of the Freedom of Information Act 2000 (Defence);Exempt under Section 24 of the Freedom of Information Act 2000 (National security);Exempt under Section 24 of the Freedom of Information Act 2000 (National security);Exempt under Section 24 of the Freedom of Information Act 2000 (National security);Exempt under Section 24 of the Freedom of Information Act 2000 (National security);Exempt under Section 24 of the Freedom of Information Act 2000 (National security)
2021;MOD_0107_1617-Q1;Protector;MOD;Military Capability;Protector will provide a certified remotely piloted air system with enhanced capabilities (to 2038) over those currently provided by the in-service Reaper air system.;Amber/red;Exempt under Section 26 of the Freedom of Information Act 2000 (Defence);2009-04-30;2038-03-30;"Compared to financial year 19/20-Q2, the project's end-date increased from 31 March 2035  to 30 March 2038 . This is primarily due to the following factors: 

The schedule remains on track to deliver an In Service Date in 2023 following the programme being re-baselined through approval of a Review Note in April 2019 to reflect a slip to the Initial Operating Capability date. This has moved the Out of Service Date to 31 Mar 2038.";£149.84;£154.85;The budget variance is less than or equal to 5%. ;£1,347.06;"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £1155.84m to £1347.06m. This is primarily due to the following factors: 
 
Inclusion of Detect and Avoid, foreign exchange increases and extension of the Delivery Phase of the programme."
2021;MOD_0047_1112-Q1;Spearfish Upgrade Programme;MOD;Military Capability;To deliver into service an upgraded submarine launched heavy-weight Torpedo that is safe, sustainable and capable of defeating modern Anti-Submarine Warfare and Anti-Surface Warfare threats in order to retain the UK's dominance of the Underwater Battlespace.;Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Red to Amber. This is primarily due to the following factors: 

1. Confidence has improved in the solution to a previous technical issue with the modified weapon as part of the Spearfish Upgrade Projects.  Successful Development Phase trials of the weapon have been conducted leading to acceptance of the final design. The Equipment Delivery Date for the Spearfish Upgrade weapon was achieved on 31 March 2021 and an Initial Operating Capability declared; this included the delivery of the initial set of weapon modification sets and putting into place the logistic support arrangements. 

2. Transition Plan activities to modify the existing stock of Spearfish Mod 0 weapons into Spearfish Upgrade weapons remains on target to meet the required delivery schedule.

3. The rating is no better than Amber owing to the continuing risk that the Submarine Combat System upgrade (Weapon Thread Project) will not deliver in time to match the rollout schedule of the Spearfish Upgrade weapons. The Weapon Thread project is on track to deliver on time but with no margin for delay remains within the Programme schedule.  This defines the critical path to successful completion of the Programme.";2008-04-01;2024-03-31;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 March  2024  . This is primarily due to the following factors: The Programme will end when all stock of Spearfish Mod 0 weapons have been converted to Spearfish Upgrade Project and when all operational submarines (not including those in Build or in Deep Maintenance Periods) have received the Weapon Thread upgrade to their Combat Systems. Delivery of the Weapon Thread upgrade to submarines in Build and Deep Maintenance Periods will be conducted as Business as Usual beyond the scope of the Programme. The change to the forecast Programme end-date has been driven by the risk of schedule delay to the delivery of the Weapon Thread Project and the need to match the installation of the Combat System upgrades to the Submarine Support and Maintenance Programme.  It is not possible to slow the Transition Plan of Spearfish Upgrade weapon conversion to match any further delay to the delivery of the Weapon Thread Project owing to the life expiry date of the Spearfish Mod 0 weapons.;£93.98;£81.29;"The budget variance exceeds 5%. Variance of £-12.688m (-14%). The programme current costing for 20/21 fell below the control total for the following reasons:
. The programme has seen savings that were made during the recent contract negotiations alongside the recycling of torpedo fuel. There has also been some re-programming of activities on the Torpedoes contract which has led to some movement of activities into later years. 
. Application of realism to risk inside costing in Weapon Thread project.";£860.00;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £414.52m to £860.00m. This is primarily due to the following factors: Whole Life Costs for the Spearfish Programme (when all stock of Spearfish Mod 0 weapons have been converted to Spearfish Mod 1 weapons and when all operational submarines (not including those in Build or in Deep Maintenance Periods) have received the Weapon Thread upgrade to their Combat Systems) is £860m. This includes the Spearfish Upgrade Project, Weapon Thread Project, and Project Whitehead/Torps In-Service Support. Estimated Whole Life Cost to maintain Mod 1 capability to 2060 is £1.6B. 
2021;MOD_0055_1112-Q1;Type 26 Global Combat Ship Programme;MOD;Military Capability;"The Type 26 Global Combat Ship Programme will procure eight Anti Submarine Warfare ships and associated support.  

This eight ship programme will deliver Anti-Submarine Warfare capability to protect strategic assets, sustain national shipbuilding capability and increase the resilience of the Naval Service.";Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: 

The Amber Delivery Confidence is considered appropriate given the COVID-19 impact on schedule, the performance of the supply chain and greater than forecast volume of engineering design work. 

COVID - During the first COVID lockdown production in the Govan yard was paused by 4 weeks to enable revised safe systems of work to be put in place.  Work has recommenced and the production rate has since stabilised.

Supply Chain - Delivery of key components have been delayed due to poor supplier performance in progressing the Factory Acceptance Tests.  Maintaining quality control has been prioritised to ensure the performance of the T26 meets the user requirements and de-risks the downstream programme. 

Engineering Design - The volume of design work to complete prior to commencing production in some areas of the ship has impacted schedule.  The design work is forecasted to reduce to a steady state level by the end of the calendar year 2021.";2008-07-21;2035-05-01;"Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 01 May  2035  . This is primarily due to the following factors: 

Schedule delay caused by a combination of outstanding engineering design volume, supply chain performance and Covid 19 related slowdown has consumed project float for the first 3 ships.  The detailed impact to delivery forecasts are under analysis. Any impact to Vessel Acceptance Dates will be reported once the company and Defence Equipment & Support have completed their review in Summer 2021. Cut steel for ship 4 and project end date remains on track.  
";£581.98;£554.50;The budget variance is less than or equal to 5%. ;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.
2021;MOD_0112_1718-Q1;Type 31;MOD;Military Capability;"The T31 programme is designed to deliver a general-purpose frigate capability and act as the pathfinder programme for the National Shipbuilding Strategy.

From the mid-2020s, T31 will be at the heart of the Royal Navy's surface fleet, deterring aggression and maintaining the security of the UK's interests. They will work alongside our Allies to deliver credible UK warship presence across the globe.

Flexible and adaptable by design, T31 frigates will undertake missions such as interception and disruption of those using the sea for unlawful purposes, collecting intelligence, conducting defence engagement and assisting those in need.";Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: 

Reinforced by recent Infrastructure and Projects Authority Gateway 0 Review, Delivery Confidence of Amber is still considered appropriate given the COVID-19 pandemic and the likely impacts on the design work and supply chain. 

During the final quarter of financial year 20/21, the shipbuilder made good progress on the design and engineering work, successfully passing the independently-chaired Whole Ship Critical Design Review in February 2021.  Similarly, the pace of construction of the new infrastructure upgrades has been maintained.  In addition the significant achievement in the award of a key Ministry Of Defence contract to MBDA for provision of the Sea Ceptor missile system which will be the Type 31's primary air defence weapon system has been realised. 

This contract will ensure that MBDA, Babcock and Thales as the Combat System lead can integrate this significant capability into the Type 31. 

The most significant risk to the programme at this stage remains the Ministry Of Defences' and Contractors' ability to deliver information, equipment and services from the entire supply chain for the ship design, integration and build.";2016-04-01;2030-05-31;Compared to financial year 19/20-Q2, the project's end-date increased from 31 March 2029  to 31 May 2030 . This is primarily due to the following factors: This is because in the last reporting year the project was pre-contract and the end date was therefore based on a historic planning assumption in FY19/20.  The end date now reflects the contractual obligation for the fifth ship to be delivered by end 2028 plus the requirement for the Royal Navy to deliver the full suite of crew training and capability integration post-contract. The schedule was produced under competitive tension, which is the basis of the value for money assessment and approval of the final business case.;£192.50;£177.86;"The budget variance exceeds 5%. 

An 8% variance is recorded against Financial Year 20/21 as a result of paying a contract milestone payment 1 month early, bringing it forward from FY20/21 into 19/20.";Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.;Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.
2021;MOJ_0028_1314-Q2;HMCTS Reform;MOJ;Government Transformation and Service Delivery;"The aim of the HMCTS Reform Programme is to: modernise the infrastructure and deliver a better and more flexible service to court users; modernise and transform courts and tribunal service to increase efficiency; and improve service quality to reduce the cost to the tax payer.";Amber/red;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber/red. This is primarily due to the following factors: There is increasing confidence across all elements of the programme, although the funding for the next phase has not yet been fully agreed. There are also challenges arising from implementing and integrating a complex set of changes across the organisation whilst managing the recovery from the COVID-19 pandemic.;2016-12-01;2023-12-31;Compared to financial year 19/20-Q2, the project's end-date increased from 31 March 2020  to 31 December 2023 . This is primarily due to the following factors: There has been no change to the projected end date.;£258.16;£213.48;The budget variance exceeds 5%. The Reform programme undertook a re-baselining exercise this year which reduced the budget against the baseline presented here. Underspends against budget have arisen as a result of the COVID-19 pandemic.;£2,153.17;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost remained at £2153.17m. This is primarily due to the following factors: Project Costs include staffing, reformed digital services, infrastructure improvements, and improvements to data management. The programme has undertaken a re-baselining exercise, which following approval will amend whole life costs
2021;MOJ_0040_1718-Q3;YOUTH JUSTICE REFORM PROGRAMME;MOJ;Government Transformation and Service Delivery;The Youth Justice Reform Programme has two aims: to make youth custody a place of safety both for children and those who work there, and to improve the life chances of children in custody.;Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Red to Amber. This is primarily due to the following factors: The project is on track to open the first secure school in December 2022. While a delay was experienced in the introduction of the necessary legislation, other activities have been re-scheduled in order to support the planned opening date. However, further legislative delay may jeopardise the timeline.
COVID-19 has impacted on the ability to implement wider reforms to the youth custodial estate, but these are now being introduced alongside HMPPS staged recovery activity.";2016-12-12;2022-12-31;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 31 December  2022  . This is primarily due to the following factors: Compared to 19/20 Q2 there has been no change to the project's scheduled end date.;£12.28;£8.10;The budget variance exceeds 5%. Refurbishment work at Oasis Restore Secure School that was originally due to commence during 20/21 has now moved into 21/22 due to the contract not being signed until March 2021.;£447.48;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £345.08m to £447.48m. This is primarily due to the following factors: This is primarily due to an increase in the accounting period of 11 years to 2039/40.
2021;MOJ_0041_1819-Q1;Prisoner Escort and Custody Services (PECS) Generation 4 Programme;MOJ;Government Transformation and Service Delivery;The Prisoner Escort and Custody Services (PECS) Generation 4 Programme procures business critical contracts ensuring the continued safe and decent movement of prisoners between police stations, courts & prisons. The programme was set up to procure the next generation of critical contracts and deliver real improvements as part of those contracts which expired 28th August 2020 and successfully went live on 29th August 2020.  PECS contracts enable the Criminal Justice System by providing for the physical movement of prisoners between police stations, courts and prisons, inter-prison transfers and the movement of children and young people between Secure Children's Homes, Secure Training Centre, YOIs and Courts. The service also covers the safety and security of prisoners in the court custody suites and court docks.;Amber;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating increased from Amber/Green to Amber. This is primarily due to the following factors: The programme successfully launched the new service in August 2020. Although the delivery of new vehicles was disrupted by COVID-19, sufficient vehicles to meet demand have been in place throughout. There are also some outstanding issues to resolve in relation to the IT system, which will be addressed before the project is formally closed later this year.;2017-04-01;2021-06-30;Compared to financial year 19/20-Q2, the project's end-date increased from 30 September 2020  to 30 June 2021 . This is primarily due to the following factors: The Project experienced delays in completing full integration of the IT system.;£96.97;£97.77;The budget variance is less than or equal to 5%. ;£1,636.98;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £1635.83m to £1636.98m. This is primarily due to the following factors: Project costs include supplier mobilisation, programme team, ongoing BAU costs and digital services. The small increase in project costs (less than 1%) was due to the extension of the project, and increased staffing to address issues arising from the COVID-19 pandemic.
2021;MOJ_0042_1819-Q2;Probation Programme;MOJ;Government Transformation and Service Delivery;On 26 June the current structures for probation services will be replaced with a unified Probation Service bringing in staff, services and asset into 12 probation regions across England and Wales bringing together offender management for all levels of risk, together with responsibility for unpaid work, accredited programmes and other structured rehabilitative interventions.;Amber;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Red to Amber. This is primarily due to the following factors: Significant progress made towards implementing the first phase of Probation Reform, the Programme has successfully restructured into 12 probation regions across England and Wales is on track to transfer staff, assets and services on 26th June. The Programme has published the 'Target Operating Model' and National Standards to set the future vision of the Probation Service.;2017-10-01;2022-12-31;Compared to financial year 19/20-Q2, the project's end-date increased from 01 March 2020  to 31 December 2022 . This is primarily due to the following factors: Since April 2020 the Programme has responded swiftly to challenges presented by COVID-19, changing the scope of reforms to ensure that the new services would be up and running by the time that Community Rehabilitation Company (CRC) contracts end in June 2021. The following 18 months will focus on delivering the benefits of the programme and successfully transitioning to the Target Operating Model.;£1,136.49;£1,068.17;The budget variance exceeds 5%. The baseline included contingency funding, which was not required in this financial year, resulting in an underspend. Transition costs have also been lower than baseline in 2020-21, as the assumptions around the timing of certain transition costs have changed.;£17,725.63;"Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost increased from £8235.23m to £17725.63m. This is primarily due to the following factors: The project had a significant change in baseline costs as part of the transition to the full business case. Increases in technology costs, estates costs, in-house transition costs, workforce costs and general transition costs driven by the reclassification of some business as usual (BAU) costs as transition costs.
The increase in estates costs are driven by the early transfer of Community Rehabilitation Company buildings into the National Probation Service, with the associated additional running costs and loss of income for MoJ Estates.  The programme is also now funding backlog maintenance in later years."
2021;MOJ_0045_1920-Q2;Wellingborough New Build Prison;MOJ;Infrastructure and Construction;The prison population is forecast to rise significantly during the 2020s and the department is bringing forward new prison places to accommodate new offenders. The new prison at Wellingborough will be a resettlement prison, creating 1680 Category C resettlement places The prison will be privately operated by G4S who are in the process of completing their 12 month mobilisation period ahead of Service Commencement in January 2022.;Amber;Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating remained at Amber. This is primarily due to the following factors: The COVID-19 pandemic has affected staff numbers on site which has created a risk of delay to the completion date, although staff levels have recently improved. Good progress is being made by the prison operator to mobilise the new service;2018-08-17;2022-06-14;Compared to financial year 19/20-Q2, the project's end-date remained scheduled to finish on 14 June  2022  . This is primarily due to the following factors: Work on site has remained constant despite COVID-19 but the discovery of a significant amount of asbestos during groundworks and adverse weather conditions in February 2020 resulted in a 3 week delay to service commencement date, now 8 January 2022. There remains an ongoing risk of further delay due to COVID-19.;£134.38;£185.71;The budget variance exceeds 5%. The prison's delivery is now expected to be one month later than originally estimated with relevant mobilisation costs being incurred in the financial year 2021/22 rather than 2020/21.  Last year there was an £81m underspend against original baseline. The overall budget remains within the funding agreed with HM Treasury;£5,536.36;Compared to financial year 19/20-Q2, the projects Baseline Whole Life Cost decreased from 6316.01m to £5536.36m. This is primarily due to the following factors: The baseline reported in Q2 19/20 was an overstatement which was corrected in a subsequent return.
2021;MOJ_0044_1920-Q2;Prison Technology Transformation Programme (PTTP);MOJ;ICT;PTTP will deliver new end user technology for HM Prison Service (HMPS) and its Headquarters, to replace the existing Quantum IT system. The new platform, devices and service support solution will be deployed to around 60,000 HMPS technology users spread across over 160 public and private prisons and HQ sites.;Amber;"Compared to financial year 19/20-Q2, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Red to Amber. This is primarily due to the following factors: Delivery has remained on track despite the restrictions arising from COVID-19
The platform went live in July, and the first users were introduced in November. During Q4, work was completed on the existing infrastructure to enable increased deployments, and approximately 400 users were on the system by March.";2019-04-01;2023-08-31;Compared to financial year 19/20-Q2, the project's end-date increased from 31 March 2022  to 31 August 2023 . This is primarily due to the following factors: The latest programme end date for PTTP is August 2023, in line with the end of the existing supplier contract. This reflects a revised delivery approach including the iterative design and build of the solution which allows lessons to be learned ahead of wider rollouts to users in planned phases.;£33.56;£21.06;"The budget variance exceeds 5%. The key reasons for this variance are reduced license and cloud hosting costs as a result of reduced deployment numbers; deferral of some of the infrastructure costs; changes to the approach to undertaking site surveys; and changes to the timing of when devices will be purchased.";£234.12;"The projects Baseline Whole Life Cost is £234.12m. This is primarily due to the following factors: Costs include programme staffing, new devices, technical build and design of service, ongoing licencing costs, contract exits and infrastructure hosting. Support costs for the future service are also included. 
Business as usual running costs are not included."
