,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year,report_category,project_number,TOTAL Baseline Benefits (Łm),benefits_comment
324,Future Farming and Countryside Programme,DEFRA,Amber,"By 2028, the Future Farming and Countryside Programme aims to deliver: 1) A renewed agricultural sector, producing healthy food for consumption at home and abroad, where farms can be profitable and economically sustainable without subsidy 2) Farming and the countryside contributing significantly to environmental goals including addressing climate change","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber Planning for derailment: Contingency Scenario Planning Framework developed for rollout. Currently testing with options to respond to Ukraine Crisis impact on farming

Scope Management:  Change Control process embedded. Now developing a decision-making framework to build into Lifecycle and Policy pipeline assessments

Agile transition: Agile coaching / training across programme. Process and decision-taking revised to reflect new approach. Learning embedded into Programme restructure around Single Service; regular communications events and SharePoint information sharing alongside, with focus on impacts on individuals and teams to bring internal users along the journey.

Operational delivery: Work continues with planning deep dives to assess delivery confidence and alignment to Critical Timeline. Planning templates were updated with Transition to Operations, Closure, Handover, and planning for Benefits. Milestones and RAIDD are extracted from plans to assess deliverability, consistency and inform Critical Timeline. Delivery Partners embedded in project teams and planning requirements.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 DEC  2028  . This is primarily due to the following factors: The department continues to deliver the planned reforms and although some changes to plans have been made as part of our test and learn approach, delivery is on track for the critical path milestones, costs and benefits.",,,,The budget variance is inferior or equal to 5%. ,"Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 24629.59 (Łm) to 24864.26 (Łm). This is primarily due to the following factors: The costs are split into two main sections, payments to beneficiaries (scheme costs) and the costs of delivering those schemes together with policy and programme support (administrative costs).The value of the scheme costs will be linked to the definition of the manifesto commitment to guarantee the current annual budget to farmers in every year of this Parliament.",2022,Government Transformation and Service Delivery,DEFRA_0008_2021-Q1,,
325,Future Maritime Support Programme,MOD,Amber,The Future Maritime Support Programme is the contractual framework for operation of the three Naval Bases and support to the Royal Navy's complex warships and submarines. The contracts placed under the Future Maritime Support Programme have succeeded the Maritime Support Delivery Framework arrangements with BAES and Babcock and will deliver the required scope of support to ensure the Royal Navy is able to deliver its key strategic requirements and other global commitments.,"Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating decreased from Amber/Green to Amber. This is primarily due to the following factors:
The removal of the incremental Amber/Red and Amber/Green assessment ratings.
Future Maritime Support Programme has, since the last Annual Report completed the commercial activity and awarded all contracts. It is now in the delivery phase, and the final transition to Full Operating Capability 1 October 22.",,,"Compared to 2021-Q4, the project end-date remained scheduled to finish on 30 September 26.  
",883.85,838.11,,The budget variance is inferior or equal to 5%,"Compared to 2021-Q4, the projects baseline Whole Life Cost decreased from 10699.08(Łm) to 5315.01(Łm) This is primarily due to the following factors: 
The final phase of the commercial negotiations has resulted in a reduction to the overall Whole Life Cost of the Future Maritime Support Programme to Ł5.182bn, the forecast benefits over 5 years now stand at Ł605M (10.7% of the baseline).",2022,Military Capability,MOD_0117_1718-Q2,,
326,Glen Parva New Build Prison,MOJ,Amber,"The new prison at Glen Parva, HMP Fosse Way, will be a resettlement prison, creating 1715 Category C resettlement places. The prison will be operated by Serco following a recent tendering competition.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 increased from Amber/Green to Amber. 
The impact and delays caused by Covid-19 to the supply chain. A revised construction completion date will be confirmed next quarter.",,,"Compared to 20/21 Q4, the project end date has remained static. ",195.18,178.78,,"The budget variance exceeds 5%. 
The underspend is due to delays caused by Covid-19, poor weather, lack of availability of materials and trades which have caused work to progress slower than initially forecast.","Compared to 2021-Q4, the projects Baseline Whole Life Cost decreased from 6775.73 (Łm) to 6764.85 (Łm). This is primarily due to the following factors: 
This negligible (0.01%) variance is due to a change in accounting treatment.",2022,Infrastructure and Construction,MOJ_0043_1920-Q2,,
327,Future Service Programme,CO,Green,The purpose of the programme is to put in place new administration models for the Civil Service Pension Scheme and the Royal Mail Statutory Pension Scheme.  The new models will enable Ministers to meet their statutory duties to administer these schemes and will provide continuity of service to the two million scheme members. The strategic vision is to 'transform the Civil Service Pension Scheme into the best managed and administered UK public service pension scheme'.,The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Green The  Programme is closely monitoring ongoing developments and will take appropriate action as needed.  We are closely monitoring and will respond to any IPA feedback; and take action as needed.,,,"Your project end-date is 31 DEC 2024. This is primarily due to the following factors: The programme is now fully in procurement.  Progress includes the publishing of the SQ document and Contract Notice.  As we have now fully entered procurement we are proactively focusing on planning our internal evaluation sessions, agreeing the evaluation criteria to be able to score evaluate and moderate potential bidders successfully and fairly.  In parallel with this the programme is focusing on finalising service requirements and model services contract. Focus is currently on CSPS product however,  initial activities have commenced in the RMSPS given the longer timescales for RMSPS ITT. For all key exercises the programme has initiated professional training for areas such as evaluation criteria, scoring mechanisms, TUPE and negotiation to ensure we have the correct knowledge to undertake the activities.  In addition to this we are  focusing on the next stage of planning around aligning key dependencies against the programme which may be impacted by transition and down selecting.",1.6,0.9,243.0,OBC has now received COAB approval. spend is down 44% from initial forecast following significant project work pushed forward into next year.,Your projects Baseline Whole Life Cost is 243.20 (Łm). This is primarily due to the following factors: The whole life cost remains the same as we are expecting the necessary project work planned for 21-22 to be carried forward into 22-23.,2022,Government Transformation and Service Delivery,CO_0027_2021-Q4,,
328,Future Suppliers Services,HO,Amber,"Future Supplier Services' (FSS) aim is to re-procure UK Visas and Immigration's (UKVI) United Kingdom  and overseas front-end customer services to primarily provide biometric information to support their visa application and, in certain circumstances attend interviews. 

These services are currently outsourced under the Front-End Services United Kingdom and Next Generation of Outsourced Visas contracts and the project is procuring equivalent services to maintain visa services; while maximising value and efficiency, which is a critical enabler for building and sustaining the United Kingdom's growth and prosperity.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 decreased from Amber/red to Amber. The Amber rating reflects the short timescales for procurement and mobilisation of the new service before the end of the current contracts. We remain confident that the service we are procuring will deliver the expected benefits, and that the procurement for the service remains competitive. We are working to mitigate the risks to the schedule, and ensure contingency is in place.",,,"Compared to 2021-Q4, your project end-date increased from 01 MAY 2024  to 31 JUL 2024 . This is primarily due to the following factors: Delays to Invitation to Tender launch to ensure quality of procurement documentation, and an extension of the Invitation to Tender deadline to bidders. This is to ensure a quality response from bidders and a competitive commercial procedure during a period when several of our bidders were under pressure due to the need to support the response to the crisis in Ukraine.",4.0,2.31,637.0,"The budget variance exceeds 5%. Having completed a review of 2020-21 costs, the programme can confirm a reduction in actual spend against our initial forecast.","Compared to 2021-Q4, the projects Baseline Whole Life Cost decreased from 927.50 (Łm) to 636.70 (Łm). This is primarily due to the following factors: The change in whole life cost reflects the work refining the position from Strategic Outline Business Case to Outline Business Case, including clarification of the delivery scope which was refined further from the ambitious articulation within the Strategic Outline Business Case. The current forecast also represents updated figures generated from detailed work on the economic model and should-cost modelling for the new service.",2022,Government Transformation and Service Delivery,HO_0043_2021-Q4,,
329,Geological Disposal Facility Programme (GDF),BEIS,Amber,"The primary objective of the programme is to site and construct a permanent geological disposal facility (GDF) as the safe, secure and environmentally responsible solution to the long-term management of higher-activity radioactive waste in the UK, excluding Scotland.  A GDF is the internationally agreed and only viable permanent answer to the UK's existing legacy of Highly radioactive waste.   As a nationally significant infrastructure programme a GDF will also provide an opportunity to sustainably boost the economy of the host region and local community to transform itself for many generations. The programme also supports the delivery of the UK's nuclear new build programme as the Government needs to be satisfied that effective arrangements exist or will exist to manage and dispose of the wastes they will produce before development consents for new nuclear power stations are granted.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 increased from Green to Amber		
The SRO SQA has changed from green to amber due to ongoing funding constraints.   The programme faces large uncertainties at this stage due to the site selection process; Until we confirm a willing community, a suitable site, and test the site characteristics, we cannot be confident of timescales and costs.  
-	Uncertainty in finding a willing community continues to reduce as three Community Partnerships have now been formed and a working group progressing towards Community Partnership. There is a pipeline of further potential communities with good site prospects.  
-	There has been considerable progress with enabling activities to support the current and next phases: business cases for major permissions work, and a property value protection scheme are in progress. Plans are underway to start seismic investigations of potential sites in Copeland. 
The transformation and capability build of the organisation continues with development to support seismic surveys and technical evaluation activities. Confidence in engaging volunteer communities has grown further with the formation of three community partnerships in West Cumbria and a fourth working group in East Lindsey.  Active and focussed engagement continues with additional communities.   The transformation of the GDF programme continues with ongoing capability development and recruitment to meet the changing nature of the programme preparing for the next significant phase - concept design and site suitability.  The GDF is now part of the Major Capital Programmes Directorate of the newly formed NDA Nuclear Waste Services.  
It should be noted that the GDF programme spans a significant time period on a whole life basis and is still at a very early stage in the lifecycle, construction is due to start in the 2040s.  The programme still faces exceptional uncertainty levels at this stage with success dependent on agreeing a site with a willing community and the associated complexity of geology.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 DEC  2040  . This is primarily due to the following factors: Significant progress has been made during the financial year even with the ongoing constraints of CoVID and the associated impact for community engagement.  However, many work-arounds have been effective in continuing engagement, noting that the communities set the pace for their own progress through the 'willing community' process.  3 community partnerships and now been formed and a fourth working group is preparing for Community Partnership formation and initial community investment grants have been approved.  Work continues to progress on potential additional community working groups in particular for targeted community lead generation.  The detailed preparations are underway for starting the first seismic surveys - Copeland summer 2022.  The detailed planning and procurement processes are underway for the formal site evaluation of all current sites.   The schedule remains on target for the first key decision point - site down selection in 25/26.",52.03,43.17,,"The budget variance exceeds 5%. The budget variance exceeds 5%.  This is primarily due to the following factors resulting in a reduced spend in year:
1) Slower than anticipated progression of communities to form Working Groups and move to Community Partnerships.  In addition, we have had fewer WGs and CPs being formed than assumed in the budget. Also, ongoing CoVID impacts with more virtual events scheduled over the year and the associated reduction in spend.
2) Budget constraints applied to the final quarter of the year have resulted in deferrals, including the next phase of the borehole sealing demonstration, and slow down in some of the technical support activities and associated reduction in spend.  Decisions were taken to prioritise activities that support the critical and key paths to the first major decision point in 2025/26.  Recruitment of resources required to deliver increased capability within the programme to support the next phases of work was paused.","Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 12743.00 (Łm) to 20300.00 (Łm). This is primarily due to the following factors: The costs have been aligned with the HMG approved programme business case (Oct 2019).
The revised Whole Life Cost (WLC) envelope includes a range of scenarios associated with the waste inventory and the significant levels of variability associated with the location and the possible geological complexities.
Current estimates are between Ł10.2bn-Ł27.3bn cost to HMG (as stated in the Q3 report) to dispose of the legacy waste, rising to Ł20.3-Ł53.3bn (aligned to the 2019 approved FBC) for the whole inventory, including an allowance for risk and optimism bias.  The non HMG costs will be covered mainly through the Funded Decommissioning Programme for new nuclear build projects.  The WLC costs are spread over a period to c.2200.",2022,Infrastructure and Construction,DECC_0005_1112-Q1,,
330,GOV UK Verify,CO,Amber,"GOV.UK Verify is a core element of the Government's digital transformation agenda. It aims to ensure that users can create, use and reuse digital identities to access public services, until its successor cross-government system (One Login for Government) is fully operational.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 increased from Amber/Green to Amber Verify continues to operate reliably and robustly. Over its lifetime, almost 10 million people have used the system. As Verify approaches its retirement in 2023, some of its connected government services offboarded as planned in March/April 2022. A Written Minsiterial Statement on 28 April 2022 confirmed that we have extended - until 31 December 2022 - the period in which new users of Verify's remaining services will be able to set up an account. This will help to ensure continuity while a new cross-government sign-on and digital identity solution is developed and rolled out, under the One Login for Government programme. Verify's funding position is secure, following the outcome of the 2021 Spending Review. The overall AMBER rating reflects the fact that Verify has not fully met all of its original objectives, rather than the current status of the programme.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 MAR  2020  . This is primarily due to the following factors: ",10.52,7.85,233.0,The budget variance exceeds 5%. Project was below budget due to fewer staff and higher than budgeted income,"Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 222.86 (Łm) to 233.38 (Łm). This is primarily due to the following factors: The Verify platform continues to provide online verification services and thus incurs staff and other operating costs such as ICT and IDP payments",2022,ICT,CO_0015_1516-Q2,,
331,Government Hubs Programme,CO,Amber,"The Government Hubs Programme will consolidate and modernise the government's office estate, creating an office network that supports smarter working and great places to work, in line with post-Covid ways of working. Working in tandem with  the GPA Capital Projects Whiteall Campus programme which is developing a rationalised central London Estate, the Government Hubs programme is supporting the Government's strategic requirements to relocate 22,000 Civil Servants out of London and consolidate 37,000 FTE in the Regions by 2030 as part of the Place for Growth; Levelling Up and supporting the government's ambition to reach net zero carbon emissions by 2050 agenda","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber IPA rating of Amber given in March 2021. Since that date the Government Hubs programme has been buliding capability and capacity to take us through SR21 as well as building team processes to embrace SR21.We have been working on a strategy to meet government spending parameters and working with places for Growth to support changing occupation requirements.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 MAR  2026  . This is primarily due to the following factors: Government Hubs programme of projects is likely to extend subject to TAP of the Capital Programme Business Case. SR21 approved projects will continue to deliver into Q2 2027",94.17,24.26,665.0,"The budget variance exceeds 5%. The latest set of budget forecast reported is the result of updating for  the Spending Review 2021 (SR21) numbers which include a different business plan than that included in earlier reports based on the SR20 reports.  Changes from SR20 include a different set of projected regional hubs, different allocations of Places for Growth Full Time Employee allocations, changes in the timing of investments.","Compared to 2021-Q4, the projects Baseline Whole Life Cost decreased from 1058.83 (Łm) to 665.33 (Łm). This is primarily due to the following factors: The latest set of budgeted whole life cost  reported is the result of updating the Spending Review 2021 (SR21) numbers which include a different business plan than that included in earlier reports based on the SR20 reports.  Changes from SR20 include a different set of projected regional hubs, different allocations of Places for Growth Full Time Employee allocations, changes in the timing of investments.",2022,Government Transformation and Service Delivery,CO_0014_1516-Q2,,
332,GP IT Futures Programme,DHSC,Amber,"The GP IT Futures programme will deliver a new procurement framework, to replace the General Practice Systems of Choice (GPSoC) procurement framework. The new GP IT Futures framework will enable buyers of clinical IT systems, for use in general practice / primary care, to compare and procure centrally assured systems. Initially this will achieve continuity of clinical IT system delivery beyond the expiry of GPSoC. During the course of the programme the GP IT Futures programme will achieve four strategic objectives of i. real time a secure access to data, ii. through interoperable systems, digitised work flows in and between care settings, iii. a relevant, resilient and plural ecosystem of GP and primary care IT systems, and iv. allow data to be easily and consistently captured to enable comparison of activity and clinical outcomes.","Compared to financial year 20/21-Q4, the Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber The actions from the last IPA Gateway review (Gateway 0 Review in June 2021) are being addressed. The IPA actions, and progress against their action plans, have been presented to the programme board for information on a regular basis.

The programme has commenced engagement with the IPA on scheduling a follow up gateway review of the programme. Timings are currently TBC and are being considered by the SRO.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 MAR  2023  . This is primarily due to the following factors: The programme end date remains the end of March 2023 and is aligned to the end of the programme's business case.",125.23,132.81,448.0,"The budget variance exceeds 5%. The increases above variance for FY21/22 relate to additional spending approved through business planning and Spending Review submissions, which were required to continue the delivery of the programme and its workstreams. Some of this work had been delayed due to the COVID pressures on the system.","Compared to 2021-Q4,the projects Baseline Whole Life Cost remained at 447.57 (Łm). This is primarily due to the following factors: There has been a slight increase in programme costs forecast through to the end of the programme in March 2023. This can be explained by an increase in knowledge in cost information and programme scope from what was submitted in the Full Business Case in 2019. The programme has submitted an up to date cost envelope into the Comprehensive Spending Review funding allocation process - as of March 2022 this amount had not been confirmed. The programme is in the process of drafting an addendum to the Full Business Case to secure investment approval for the updated programme costs and scope through to March 2023.",2022,ICT,DOH_0063_1819-Q3,,
333,Green Homes Grant: Local Authority Delivery (LAD),BEIS,Amber,BEIS has administered Ł500m funding to Local Authorities in England to support energy improvements to the worst quality homes by installing energy efficiency measures and low carbon heating.,"Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber The delivery confidence status is amber for the Local Authority Delivery (LAD) project. LAD is a Ł500m project made up of two phases (Phase 1 and Phase 2), supporting Local Authorities to help low-income households in England by making their homes more energy efficient.

LAD has been delivering amidst the risks of insufficient staffing, Covid-19 restrictions hindering their delivery, and strained supply chains across materials and installers due to price increases and reductions in supply. Work is ongoing to mitigate these risks through close monitoring of Covid-19 case numbers and by monitoring reports from LAs to assess any impact on installations.",,,"Compared to 2021-Q4, your project end-date increased from 31 MAR 2022  to 28 APR 2023 . This is primarily due to the following factors: Delivery deadlines for LAD Phases 1 & 2 have been extended through a managed closure approach designed to maximise delivery in light of challenges resulting from Covid-19 and supply chain pressure. Delivery of all LAD projects are planned to complete by September 2022.",1.2,1.29,506.0,The budget variance exceeds 5%. The projects gained approval in Q2 to extend delivery into 2022. This has increased RDEL admin costs and will require further budget in 2022/23 to see the project through to end of delivery and closure.,"Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 505.20 (Łm) to 506.40 (Łm). This is primarily due to the following factors: The increased cost will be used to fund the administration of the LAD extension.",2022,Government Transformation and Service Delivery,BEIS_0011_2021-Q4,,
334,Green Homes Vouchers Programme,BEIS,Amber,"The Green Homes Grant Voucher Scheme GHGv was the announced as part of the Government's Economic Stimulus package to support Energy Performance and Low Carbon Heat Industries recovery from COVID19.

The scheme closed to new applications on 31 March 2021 residual applications and issued vouchers were processed up until spring 2022.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 decreased from Red to Amber The programme was set up and launched at pace in order to support the economy in its recovery from the Covid 19 pandemic. This caused significant risk to the delivery of the scheme within a short time frame. 
LAD has been delivering amidst the risks of insufficient staffing, Covid-19 restrictions hindering their delivery, and strained supply chains across materials and installers due to price increases and reductions in supply. Work is ongoing to mitigate these risks through close monitoring of Covid-19 case numbers and by monitoring reports from LAs to assess any impact on installations. 
The majority of vouchers and applications have been processed. A support team was deployed in early 2022 to process any remaining vouchers following the main suppliers contract expiration.",,,"Compared to 2021-Q4, your project end-date increased from 31 MAY 2021  to 31 MAR 2022 . This is primarily due to the following factors: Following the closure of the scheme to new applications in March 2021, the project progresses into its legacy phase as originally planned throughout 2022.",356.4,212.18,482.0,The budget variance exceeds 5%. Programme Capital: Budget for FY 21/22 was initially Ł320M with Ł100M was allocated to similar Net Zero Programmes as agreed with HMT. actual spend of Ł197.330M. Early closure of the scheme and high attrition of customers through a variety of regularity and proprietary checks continued to reduce achievable spend on capital.,"Compared to2021-Q4, the projects Baseline Whole Life Cost increased from 468.66 (Łm) to 481.96 (Łm). This is primarily due to the following factors: The whole life costs to the department spanning FY 20/21, FY 21/22 and FY 22/23 years of Capital (CDEL), Resource Programme and Admin (RDEL) is currently Ł288M.",2022,Government Transformation and Service Delivery,BEIS_0006_2021-Q3,,
335,Grenfell Site and Programme,DLUHC,Amber,"Delivering the vision of the community-led Grenfell Tower Memorial Commission for a fitting memorial for the bereaved, survivors and Grenfell community, recognising the Grenfell Tower fire tragedy and honouring those who lost their lives.","Compared to financial year 2020/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 remained at Amber. The programme's delivery confidence score was Amber due to the following factors:
- The Secretary of State decided to keep the tower standing for further engagement with bereaved, survivors and local residents.
- The vision and scope of the Grenfell memorial is to be determined by the Grenfell Tower Memorial Commission, which is due to be set out later in 2022.",,,"Compared to 2021-Q4, your programme end-date increased from 30 APR 2026 to 30 JUN 2028. This is primarily due to the following factors: 
- The programme is engaging with bereaved, survivors and local residents on the future of the tower, following a decision by the Secretary of State to keep the tower standing for a further period.
- The Grenfell Tower Memorial Commission will determine the vision and scope of the memorial in 2022, this may impact the programme's schedule. The programme has developed an initial schedule for the memorial, using the Royal Institute of British Architects (RIBA) framework.",27.54,25.5,157.0,"The budget variance exceeds 5%. Resource Budget: The programme has continued to replace contractors and consultants with civil servants and carry some vacancies into the next financial year. This has resulted in money savings and an overall underspend in staffing costs. 

Capital Budget: The principal contractor on site has re-sequenced activity planned over its contract duration. This has meant some costs anticipated in 2021/22 will now not take place, leading to an underspend in 2022/23. There is no impact on critical activities and the anticipated completion date. Additionally, an underspend on the Lancaster West Refurbishment accrual for 2020/21 contributed to reducing actuals during 2021/22.","Compared to 2021-Q4, the programme's baseline Whole Life Cost decreased from 171.41 (Łm) to 156.94 (Łm). This is primarily due to the following factors: The programme's baseline figures for 2021/22 were reduced following the Supplementary Estimates process. Amounts returned were predominantly unused contingency, while some phase 3 propping costs moved into 2022/23, explaining the change to the total baseline cost from 2021-Q4.
- The budgeted whole life costs include costs needed to deliver responsibilities associated with ownership of the site, until the land is prepared for future use determined by the Grenfell Tower Memorial Commission.
- HM Treasury approved Full Business Case (FBC) for phase 1 (safety works) to cover costs needed to carry out the final stage of essential safety works, including phase 3 propping. This work is projected to conclude in September 2022. 
- Subsequent business cases are required to cover costs beyond September 2022. FBC phase 2 (future of the site) received conditional approval from DLUHC's Investment Sub Committee and covers activity to prepare the site for future use following the completion of phase 3 propping. A business case will be needed to cover the final next phase of the programme, assumed to be memorial construction.",2022,Infrastructure and Construction,MHCLG_0001_1920-Q3,,
336,Ground Based Air Defence (GBAD),MOD,Amber,"The Land Ground Based Air Defence programme will modernise the Army's air defence capabilities in the face of rapidly developing threats, and is a very high priority for the Army.  This includes the development of an integrated layered air defence system comprising Small Air Targets and Short and Medium Range Air Defence, and technology that allows engagement of targets at optimum range and early air raid warning.
","The Infrastructure Project Authority's Delivery Confidence Assessment rating is Amber. This is primarily due to the following factors:
The Defence in a Competitive Age Command Paper (CP411) published in March 2021 confirmed the reprioritisation of vehicle fleets.  This has resulted in the need to identify a new vehicular platform on which to mount the Short-Range Air Defence missile system.
",,,"The project end-date is 30 December 2033. This is primarily due to the following factors: The Programme entered the Government Major Projects Portfolio in Financial Year 2021/22, as such there is no baseline date recorded for March 21 for comparison.
",4.96,4.87,,"The budget variance is inferior or equal to 5%.
","The projects Baseline Whole Life Cost is 1787.35 (Łm). This is primarily due to the following factors:
Army HQ has reviewed its funding profile; although this saw a small reduction in designated funding the Army element of the Programme is now affordable. A similar exercise is still required for the MOD Weapons Evaluation and Capability Assurance elements of the programme pending updated costs.",2022,Military Capability,MOD_0144_2122-Q1,,
337,GSS HMRC Led Cluster Programme,HMRC,Red,"The Cabinet Office aims to drive greater efficiency and effectiveness in the delivery of corporate services by taking a cross-government approach, allowing for greater interoperability across the Civil Service, thereby delivering better outcomes. HM Revenue & Customs (HMRC), Department for Transport (DfT) and Department for Levelling Up, Housing and Communities (DLUHC) collectively are the GSS HMRC Led Cluster Programme working with Government Business Services (GBS) to address the Cabinet Office aims.",The Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 is Red The overall delivery confidence is set at Red because at this stage there is no certainty as to whether the programme will be funded. Discussions in relation to funding are continuing with the Cabinet Office and HM Treasury.,,,"Your project end-date is 31 DEC 2026. This is primarily due to the following factors: Our current planning assumption is that we will complete the programme and stand-up the full HMRC led Shared Service function (People and systems) by end of 2026, in line with the Shared Services for Government Strategy.",1.12,1.12,145.0,The budget variance is inferior or equal to 5%.,"Your projects Baseline Whole Life Cost is 144.54 (Łm). This is primarily due to the following factors: The Whole Life Costs of the Programme are made up of IT solution implementation costs, costs to create the Shared Service (people, transition and business change etc), cost of the programme team and Subject Matter Experts to deliver programme, commercial, and delivery partner costs.",2022,Government Transformation and Service Delivery,HMRC_0031_2122-Q3,,
338,Health Transformation Programme,DWP,Amber,"The Health Transformation Programme is a critical part of the department's health and disability agenda. It will procure new functional assessment service contracts, modernise our service and be a key enabler for reform proposals detailed in the forthcoming White Paper. 
The Health Transformation Programme aims to deliver:
A vastly improved claimant experience: including reduced journey times and improved claimant choice in terms of channel to claim. 
A more effective and efficient service for the taxpayer: reducing reliance on paper and integrating service delivery, reducing demand for health assessments by triaging.
Greater capability to innovate and deliver change: including White Paper reform.
All devolved benefits in Scotland, including Personal Independence Payment (PIP), are out of scope for the Health Transformation Programme.","Compared to financial year 20/21-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 21/22-Q4 Amber. The Infrastructure Project Authority's input has been invaluable in ensuring successful progress. The three business cases (Functional Assessment Service, Functional Assessment Service IT and HTP Business Case) continue to evolve and the programme has completed an extensive re-plan of delivery activity to reflect these. However, the programme remains challenging and complex. As highlighted, key hotspots include short timescales for implementing the IT PIP Managed Service, procurement and transition to the Functional Assessment Service (FAS) itself and plans to extend the Health Transformation Area. Detailed contingency options for the FAS procurement are being developed, in case they are required.",,,"Compared to 2021-Q4, your project end-date increased from 31 MAR 2024  to 29 DEC 2028 . This is primarily due to the following factors: The Programme schedule has been extended following an increase in scope and an agreed revised approach. During the COVID 19 outbreak the Programme was temporarily paused as people resources were deployed elsewhere to assist frontline operations. Following this, delivery activity was re-planned to cover:
- Supporting policy reform and transformation ambitions across the end-to-end Personal Independence Payment journey and all functional health assessments. 
- Developing a new integrated service to deliver health assessments supported by a single digital platform developed by DWP. 
- Transforming the end-to-end PIP service, including introducing an option to apply online. 
- Procuring new Functional Assessment Services and the supporting IT for the period 2023-2028.",57.97,36.65,,The budget variance exceeds 5%. 2021-22 Costs are lower than baseline as a result of challenges in bringing in resource coupled with changes in the plans and  timetable for introducing operational initiatives meaning that the Programme did not incur the associated set up and recurring costs.,"Compared to 2021-Q4, the projects Baseline Whole Life Cost decreased from 6598.77 (Łm) to 3672.68 (Łm). This is primarily due to the following factors: The previously reported whole life costs figure of Ł6598.77m was based on the strategic outline business case from 2018 and included operational costs which were not part of introducing change. The project has now developed revised business cases which only include the costs of the proposed changes to the service.",2022,Government Transformation and Service Delivery,DWP_0028_1819-Q3,,
339,Heat Networks Investment Project,BEIS,Green,"HNIP is to help create a self-sustaining heat network market by:
1. Increasing the volume of heat delivered by new or expanded heat network applicant projects through the provision of a proportion of their capital costs in the form of Government loan and grant finance; this will leverage private finance, and other investment funding, into the heat networks. 
2. Delivering carbon savings for carbon budgets 4 and 5 (2023-2032). 
3. Building market capability to develop optimised heat networks that will meet local needs and support heat networks development.","Compared to financial year 20/21-Q4, the Delivery Confidence Assessment rating at 21/22-Q4 decreased from Amber to Green HNIP Main Scheme is progressing to schedule with all awarded funding drawdown on time.  Key delivery milestones are on track as the project transitions into a period of monitoring and reporting.",,,"Compared to 2021-Q4, your project end-date remained scheduled to finish on 31 MAR  2022  . This is primarily due to the following factors: HNIP is being delivered in two phases: the pilot scheme, which is complete, and the Main Scheme which closed to applicants in November 21.",62.3,119.1,376.0,The budget variance exceeds 5%. Variance includes additional funding provided to projects using underspend from elsewhere in the Heat Networks Transformation project. Spend is still within overall budget for project as a whole.,"Compared to 2021-Q4,the projects Baseline Whole Life Cost remained at 375.90 (Łm). This is primarily due to the following factors: Whole life cost is currently below baseline.  This is due to the slower than anticipated Main Scheme mobilisation to launch period.",2022,Infrastructure and Construction,BEIS_0001_1617-Q2,,
