,project_name,department,colour_rating,description_aims,rating_comment,start_date,end_date,schedule_comment,yearly_budget,yearly_forecast,wlc_baseline_incl_NCG,variance_comment,budget_comment,year,report_category,project_number,TOTAL Baseline Benefits (Łm),benefits_comment
663,FE Capital Investment Programme,BIS,Amber/Green,"To renew and modernise the FE College estate with modern, versatile buildings, facilities and industry standard equipment; through a well managed, benefit/value-focused programme; offering learners high quality learning environments in line with the FE College Capital Investment Strategy (December 2012) and Ministerial priorities","MPA RAG rating as at 30 September 2013 was Amber/Green. The programme is well established and operates using tried and tested systems, processes and arrangements. Ministers are supportive of the programme and the sector is fully engaged.",31/05/2010,01/09/2015,The first MPA Annual Report in May 2013 stated the project end date as the end of the financial year for which funding is available. The end date shown this year 01/09/15 is the date by which the last of the programme funded projects will become operational,450.37,450.37,5609.46,"Programme is currently forecasting a balanced budget. Following the SR announcements relating to the transfer of FE Capital to the Local Growth Fund which would restrict funding commitments to 2013-14 and 2014-15, the Agency are developing further initiatives to maximise investment in the sector in line with the published Strategy. ","Whole life costs include over 50% contribution from non government sources, including college reserves, borrowing and disposal proceeds. Since the first MPA Annual report in May 2013 the programme has received an additional Ĺ550m to invest across 13/14 and 14/15. At Q2 this additional funding had been allocated to colleges across a mixture of detailed applications and expressions of interest. The additional WLC is therefore made up of a combination of capital grant and college contributions. 
",2014.0,,,,
664,The Francis Crick Institute (formerly UKCMRI),BIS,Amber/Green,"The Francis Crick Institute (formerly UKCMRI) is a joint venture between the UK's largest biomedical research and academic institutions: The Medical Research Council (MRC), Cancer Research UK (CRUK), the Wellcome Trust, University College London,  Kings College, London and Imperial College, London.  A new research Institution will be established involving the construction of a new facility located close to St Pancras station, London.  This facility will accommodate 1,268 scientists when fully operational.  The National Institute for Medical Research (NIMR) will be closed.  This NIMR site at Mill Hill and the National Temperance Hospital site will be disposed of as part of this project.  The project aims are: Sustain UK's position as a leader in biomedical research; Engagement with the most challenging research questions; A scale to compete with major new overseas developments; Promote the health of the public and wider UK economy; Address key concerns of 2006 Cooksey review on publicly-funded healthcare research; Excellent training environment for biomedical research.","The Amber/Green status reflects the good progress that has been made in terms of progress to time, cost and quality.  Good progress has been made on the on going transition element of the project.Â The MRC Monitoring Committee reviews progress at its monthly meeting.",01/10/2006,21/12/2017,The Project remains on schedule for completion by the forecast end date.,112,112,753,No departmental narrative ,"The Total (WLC) cost for the Crick project is circa Ĺ753m.  This is funded by six partners; Medical Research Council (MRC), Cancer Research UK (CRUK), Wellcome Trust (WT), University College London (UCL), Kings College London (KCL) and Imperial college London (ICL).  The funding proportions are; MRC - Ĺ253m towards construction costs, Ĺ30m for transition costs in the move from NIMR to the Crick and Ĺ47m towards land costs. The remaining Ĺ423m is provided by CRUK,WT,UCL,KCL and ICL.",2014.0,,,,
665,Green Investment Bank,BIS,Green,"To build a green investment bank, to accelerate a transition to a green economy, by engaging in activities which the companyÂs board considers will, or are likely to, facilitate the development or expansion of  businesses; enterprises; industries; infrastructure; projects or technologies which, in the opinion of the board of the company, have an environmentally beneficial objective, such as  facilitating the reduction in greenhouse gases; improving resource efficiency or protecting and enhancing the natural environment. ","GIB became fully operational in October 2012 following receipt of state aid approval. It has since made commitments of Ĺ1.3bn, and mobilised more than three times that amount in private capital. ",01/06/2010,01/09/2012,No departmental narrative,0,0,278,No departmental narrative ,No departmental narrative ,2014.0,,,,
666,HE Reform Programme,BIS,Amber/Green,"To put higher education funding on a sustainable footing from September 2012 by shifting public spending away from teaching grants towards repayable tuition fee loans and contribute to eliminating the economic deficit while maintaining high quality in higher education. This overarching objective is supported by a number of subsidiary objectives with the following key deliverables:

Â Generation of Ĺ3 billion savings annually by 2014-15 
Â A single regulatory framework by Academic Year (AY)15/16 
Â Quality of HE provision maintained or improved from AY11/12 levels
Â Successful launch of the annual student support application cycle
Â An agreed Communications and Stakeholder Engagement Strategy and Plan",The Amber/Green status reflects that student numbers appear to be recovering this year after a fall in the first year of the new regime.  New regulatory requirements for alternative providers have been introduced to strengthen protections in the absence of primary legislation. The Programme is nearing its closure point and we are moving activities increasingly into Business As Usual. Action has been taken to ensure continued good governance to oversee risks and issues and stewardship of benefits realisation on a continuing basis.,30/06/2011,31/12/2015,No departmental narrative,970,1180,4600,"HE Reform affects academic year 2012/13 onwards, with the system changes reaching full implementation by 2015/16. The assessment of the long-term resource cost of loans has increased since the original cost estimates were made, primarily because the Ĺ21,000 repayment threshold for 2016 will now be more generous than originally planned due to lower than typical earnings growth. The budget figures reflect the original costs of the reforms and the forecast/actuals the current assessment of the costs. The original decisions on the reforms were taken in Spending Review 2010 and the assessment of costs and benefits used to justify the reforms were set out in the June 2011 Impact Assessment ""Higher Education: Students at the Heart of the System"".  The current assessment of costs is consistent with estimates available during Spending Round 2013. Any increase in costs above Departmental budgets will be resolved as part of annual discussions with HM Treasury.","The financial benefits are the savings to HEFCE teaching grant that result from the reforms within the timeframe from first year of change through to full implementation in 2015-16. The net present value is from the HE White Paper Impact Assessment, and shows the discounted net costs (a saving) to Government. This has not yet been reviewed but is likely to fall as a result of the increase in the estimated resource cost of the new student loan outlay. We will review this estimate once we are in a position to review the expected cash outlay on loans using final 2012/13 academic year data.",2014.0,,,,
667,Royal Mail Sale of Shares,BIS,Amber,"To sustain the universal postal service for the benefit of all users by securing Royal MailÂs future through the introduction of private sector capital and associated commercial disciplines. 
This will be achieved through: 
i) delivering a sale of shares of Royal Mail within this Parliament;
ii) creating an employee share scheme that, as decided by Parliament, will lead to at least 10% of the company in employee ownership to drive strengthened employee engagement; 
iii) delivering a financial outcome for the taxpayer, which when considered in the context of the overarching policy objective, represents overall value for money.
","The Amber status reflects the view that the project was being managed effectively but significant external risks threatened successful completion - namely market conditions and industrial relations.  Extensive monitoring and contingency planning  were undertaken to manage potential risk materialisation, and a plan was put in place for decision-making and auditing of key decisions in the run-up to the sale of shares. Post-IPO the department has defined  the division of responsibilities between the policy and shareholder teams and  added measurement of benefits  to the ongoing role of the policy team. The project  closed in October 2013 and a lessons learned document has been  developed  which will include consideration of how the skills developed by the project team could be deployed on similar projects elsewhere within Shareholder Executive and more widely across Government.  ",01/04/2012,17/10/2013,"The Project start date is given as June 2011, which is when the Postal Services Act 2011 received Royal Assent.  However, the sale of shares project was not launched until FY 12/13, following successful implementation of the other parts of the Act. ",380,350,31.2,"Forecast costs of Ĺ350m include estimated cost of the employee free shares scheme (Ĺ300m) and execution costs (Ĺ50m). The final cost of the employee free shares scheme was Ĺ330m, with the variance due to HMG achieving a higher IPO share price than was originally estimated in the GMPP return.   The final figure for IPO execution costs was Ĺ27.1m.  

","Only the non-Government spend is classified as 'budgeted whole-life costs'. These are costs met by Royal Mail in relation to their own advisory work to prepare for the sale of shares, and also BIS adviser fees that were recovered from the company by the Department.  The Government recovered Ĺ4.8m from Royal Mail to cover transaction-related adviser fees incurred in 2012/13 and 2013/14 (this is separate to the fees associated with execution of the IPO itself which are described above and were borne by the Department). ",2014.0,,,,
668,BIS Shared Services,BIS,Amber,"A shared service solution for the BIS network will:  
- deliver a structural reduction in the cost base;
- provide simpler, transparent and more integrated processes across the BIS family of organisations; and
- secure continuous cost and process improvement through innovation and the application of a professional business focus.

Shared services enables wider business transformation. Greater benefits will be realised as the service matures beyond transactional services to higher value ones. There are opportunities for shared services to support:
- strategic procurement with effective compliance Â managing the >Ĺ1bn contract expenditure of BIS and partners much more effectively, to deliver savings that could dwarf those from consolidating transactional services
- real benefits from Clear Line of Sight Â so that rather than being an initiative about consolidating end-year accounts, it can underpin strategic management of BIS and its partners with timely, accurate, valued and well-aligned financial management information","The Amber status reflects  the challenges faced with the continued movement of partner organisations to the new service during Phase 1, and finalising the timetable for future BIS Partner Organisations involved in Phases 2 & 3.
In order to reduce the risk of delaying the on-boarding of clients (that have a higher level of readiness to others), a decision  was taken to develop individual business cases for organisations identified for inclusion in the latter stages of the programme. 
The programme remains fully resourced and achieved   go-live in October 2013.
",04/05/2011,01/04/2014,"The project end date should read 01/04/15 (as per the Q2 2012/13 GMPP report).



Additional scope was incorporated into the programme in 2012, in line with the objectives of the Civil Service Reform programme.  The later project end date is an indicative date reflecting the enlarged scope of the programme.  Given that work is being progressed under business cases dedicated to individual organisations, the end date cannot be finalised until all business cases have been completed.
",3.785,3.785,19.27,N/A ,"The variance in whole life cost is a result of the enlarged scope.  The original forecast for phase 1 was Ĺ12.74m (of which Ĺ0.8m was capital).

Phase 1A requires an additional Ĺ1.5m to support increased costs of delivery relating to the system security requirements.  Two organisations also have deferred go live dates (Insolvency and IPO) to February 2014 and additional costs of Ĺ0.3m are expected.

The expected costs of phase 2 are expected to be Ĺ3.7m and phase 3 Ĺ1.1m",2014.0,,,,
669,SLC Transformation Programme,BIS,Amber,"The SLC Transformation Programme supports the Coalition's programme for Government.   The objectives of the programme respond to a number of challenges including the  reforms introduced in the White Paper ""Students at the Heart of the System"". Over the next three years the SLC anticipates major increases in student numbers, and loan values and volumes.  The student experience at present is very poor, due to operational and technology issues including lack of availability of complete case information and the time delay between the issue of evidence by students to the completion of the application process at times of high demand.  Due to the limited technology update over the last few years the current system needs replacement.  A robust and agile customer-centred student finance system is required.   Introduce a modern, integrated and flexible IT system to enable the safe delivery of HE reform (including changes to borrowersÂ repayment terms including variable interest rates).
Â Enhance customer service and operational efficiency.
Â Support the transformation of SLCÂs business through introduction of a unified technology platform and the standardisation of processes.

Expected benefits:

Â Improved customer experience: easier access to real time information, additional communication channels and a reduction in incomplete calls, etc;

Â Operational efficiencies:  increased process automation, reducing avoidable contact and standardisation of workflows; 

Â Strategic fit: alignment of the programme with Government ICT strategy as well as with the strategic direction taken by SLC.

Â Financial benefits to Government: ensuring HE reform-related savings, agreed as part of the Comprehensive Spending Review, are realised; potential for increasing the value of the loan book and an increase in the recovery of student debts;

Â ICT efficiencies: introduction of a unified business technology platform, the use of standard technology and the ability to use more agile development approaches","The Amber status reflected the requirement to have more detailed plans in place from Transformation Partners and programme work-streams. 
Detailed planning sessions are planned to l enable the development of a baseline delivery roadmap which will then be used to refresh the delivery plan , budget and team structures. This roadmap will continue to be refined. 
Resource capacity has been highlighted as a challenge - action plans are being put in place to manage this challenge. A resourcing governance process has been agreed, defined and implemented.
",01/03/2012,19/03/2016,No departmental narrative,19.86,19.86,139.13,Underspend against FBC estimates in FY 13-14 due to later than planned contract finalisation and subsequent delay to the start of the delivery of the core banking implementation. ,Whole of life costs are still anticipated to be within FBC estimates - however work is ongoing to  verify these. The costs include replacement of core systems and business and technical transformation.  Figures reported in 2013/14 were provided before the full business case had been finalised and the figures approved. Therefore that Ĺ131.91m figure was an estimate and Ĺ139.13m was the figure agreed in the Business Case.,2014.0,,,,
670,ICR Monetisation,BIS,Amber/Red,"HM Government is  carrying out a programme of asset sales with the purpose of reducing public sector net debt (ÂPSNDÂ). The Government has announced intentions to sell the pre-Browne Income Contingent Repayment (ICR) student loan book to contribute to this objective and to realise value to the taxpayer.  This loan book will be sold in a series of tranches over a number of years.  The first tranche of loans is expected to be sold by 2015-16.  As is normal with transactions of this type, there will be a value for money assessment made before each sale. Each sale is required to meet the value for money assessment as well as other key project objectives to be considered a success.  Failure to meet objectives will result in a decision not to sell.

","Actions being taken to address the Amber/Red rating include the Project Steering Group assessing and confirming the delivery capability of key partners. Following agreement that the Go/No-Go criteria (required to continue with phase two of the project) has been met the Project will undertake work to further define its objectives, establish more robust plans, governance and project management disciplines, and appoint experienced external advisers to assist on the project.  ",01/03/2010,31/12/2018,Previously an end date reflecting the end of the feasibility study was provided.  The project has now moved from a feasibility study into delivery phase including sale preparation and sale phases and timescales have been revised to reflect this.  The proposed end date reflects the completion of a series of tranches being sold over a number of years.,5.5,5.5,28.61,No departmental narrative ,"Previously, the whole life costs provided  reflected the costs of the feasibility study.  The project has now moved into a delivery phase and the revised costs reflect the costs for the whole project, including sale preparation and sale phase.  The costs reflect that there will be a series of tranches sold over a number of years.",2014.0,,,,
671,Urenco Future Options,BIS,Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),"The Government has adopted a policy of asset disposal where there is no longer a good case in public policy terms for continued public ownership.  On that basis, the Department of Energy and Climate Change (DECC), with commercial advice and support from the Shareholder Executive, are taking  forward preparations for a sale of HMGÂs one-third shareholding in Urenco, a uranium enrichment company.  A sale could realise significant proceeds which have, in part, been earmarked to capitalise the Green Investment Bank in 2014/15. The project was transferred to BIS (in the Shareholder Executive) through a Machinery of Government change in February 2013. 

",Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),01/02/2010,Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),Data exempt under section 27 and section 43 of the Freedom of Information Act (2000),5.889,4.092,18.416,"13/14 forecast represents the estimated cost of administering the sales process, including use of expert advisers for the FY13/14 year as at September 2013. ","Whole life costs represent the cumulative total of the annual allocated budgets and do not represent estimated spend. This will be materially lower, as a significant portion of each year's allocated budgets may be unused, and consequently rolled over. Each annual budget represents the estimated cost of administering the sales process, including use of expert advisers",2014.0,,,,
672,Further Education 24+ Learning Loans Programme,BIS,Amber/Red,"To Introduce loans for those aged 24 or over, undertaking provision at Level 3 and above from 2013/2014. The project will allow savings to be realised through the conversion of grant to loan funding while still allowing access to advanced and higher level provision . Introduction of loans should put greater power into the hands of learners, creating a more responsive system. System should be simple and non-bureaucratic , representing good value for money and making use of HE infrastructure to minimise disruption and facilitate progression.                                                                                                                                                                                                    ","The Amber/Red rating reflected the fact that there were initially concerns that the loans payments system would not be launched on time and there were aspects of the system that had defects.  Whilst overall takeup of loans was strong at the time generally there were areas where take-up was very low, one being apprenticeships. Robust plans were put in place and contingencies used to ensure successful launch and rectify defects. It was also decided that apprenticeships be removed from loans. Due to both the successful removal of apprenticeships and launch the programme officially closed on the 24th October 2013.",30/11/2010,31/10/2013,No departmental narrative,83.65,84.604,572.291,No departmental narrative ,No departmental narrative ,2014.0,,,,
673,Business Bank Project,BIS,Amber/Green,"In September 2012 the Government announced the creation of a business bank to address long-standing structural gaps in the supply of finance to SMEs and mid-sized corporates. The bank, which has been allocated Ĺ1bn of Government funding, will be tasked with supporting the development of diverse finance markets for business, tackling market failures in the provision of finance, and ensuring that businesses are aware of and can access the support provided by Government.

The new institution will operate through the wholesale markets in order to unlock institutional investment to benefit small to medium sized businesses; it will not have any retail presence. Rather, it will facilitate the provision of loans, including long-term patient capital, to UK firms through banks and other financial institutions. The 'Business Bank' will be the single public identity and centre of expertise in government on all commercially-minded finance schemes for small and mid-sized businesses. These services will be managed as a single portfolio with operational and budget flexibility.

The bank will commercially-focused, employing finance, investment, business and public sector professionals to pool the expertise of the relevant markets and efficiently build up and manage the bank's operations. It will be able to determine its own priorities, subject to high level objectives, budgets and operating principles set by Ministers. The 'Business Bank' will not seek to replace or compete with existing and future finance providers, but rather to ensure that there is a greater range of providers and products on offer to businesses. By harnessing the power of capital markets, it has the potential to transform business finance in the UK.","A total of Ĺ660m of new financing reached small businesses in 2013 as a result of the BBB programmes - a 70% increase on the previous year.

We continue to engage with the European Commission and hope to receive state aid approval to enable the BBB to go live in Autumn 2014",24/09/2012,15/11/2014,No departmental narrative,237.92,185.569,1567.45,Since the original budget was set there has since been a reallocation of budgets to reflect spending profiles of investments. The underspend 2013/14 will be rolled forward for investment in future years,No departmental narrative ,2014.0,,,,
674,Catapult Centres,BIS,Amber/Green,"Direct, targeted, government incentives for business led R&D and knowledge transfer is provided via the BIS sponsored Technology Strategy Board, through a wide range of economically robust business support interventions. Catapult technology and innovation centres will complement these approaches, by providing a business led, capital intensive infrastructure, that enables business to exploit new and emerging technologies, by providing a capability that primarily operates, at Technology Readiness Levels 4 to 7, bridging research and technology commercialisation, de-risking the process for business. ","The Green rating reflects good progress to date and steady delivery at Catapult centres including various stages from the establishment of new facilities, operations, engagement with businesses and development of R&D programmes. All seven Catapult centres were operational in 2013.  With the network maturing, the TSB is now ready to move the programme to a Âbusiness-as-usualÂ activity and to start to establish the next phase of centres, Precision Medicine Catapult and Energy Systems Catapult.


",01/12/2010,01/04/2013,"The Catapult programme continues to progress well and is largely on track against the original schedule.  A number of the new Catapult facilities will come on stream in 2014. Minor delays in securing suitable premises have not impacted delivery of the programme or centresÂ objectives. 

Budget 2013/14 [from GMPP data] = Ĺ127m

Forecast 2013/14 [from GMPP data] = Ĺ134.55m

Budgeted Whole Life Costs [from GMPP data] = Ĺ757m
",127,127,757,"TSB asked the Catapult programme to absorb additional spend at mid-year point because of anticipated emerging underspend in other programme areas and issues leading to delays in property. 

Additional funding outside of the GMPP baseline quoted above has also taken place. Significant additional funding has been provided to the Catapult centres to expand the size of the network.  This includes two new Catapult centres and the expansion of the number of the existing High Value Manufacturing Centres. 
",The through life costs apply to current Comprehensive Spending Review period and do not include the ongoing core funding anticipated for the Catapult centres.,2014.0,,,,
675,National Cyber Security Programme,CO,Amber/Green,"The National Cyber Security Programme (NCSP) was put in place as a consequence of the Strategic Defence and Security Review (SDSR), with a budget of Ĺ650 million over 4 years.  Its aim is to deliver a transformative programme to give the UK a strategic advantage in cyber security and resilience.  The programme is managed by the Office of Cyber Security and Information Assurance (OCSIA) in the Cabinet Office. 

With the agreement of Treasury as part of the latest Spending Review, the programme has been extended for a fifth year to 2015-16, with an additional Ĺ210m funding. ","The programme devised a benefits management framework in 2013/14, and its successful implementation was reflected in the upgraded delivery confidence assessment.  Prior to this, the programme had made good progress on developing its governance and addressing some of the skills gaps in the programme team. The programme conducted a comprehensive health-check in the second half of 2013-14, to provide assurance that the programme was still closely aligned to its strategic objectives, and to highlight potential gaps and areas where potential effort should be directed.",01/04/2011,01/04/2016,"Delivery in 2013/14 went largely according to plan, with all variation managed within the programme's governance, reflecting the ability of the programme to reallocate resources when required.  After a mid-year review, it was possible to prioritise the implementation of new initiatives and the acceleration of other programme deliverables, in response to slippage elsewhere.",180,179.9,860,The programme is expected to spend 99.9% of its budget within 2013/14.,The programme expects to spend its full life cost by the end of 2015/16.,2014.0,,,,
676,Civil Service Reform Programme,CO,Amber,"Britain is in a global race Â and to compete we need a world-class, 21st century Civil Service, capable of delivering a more balanced economy, a fairer society and the best public services.
To help the Civil Service change to meet these challenges, we launched the Civil Service Reform Plan in June 2012. We then reviewed the progress made and updated the actions in the Civil Service Reform: One Year On report, published in July 2013. 
The Civil Service Reform Plan sets out a series of specific and priority actions to tackle long-standing weaknesses, build on existing strengths, and address the frustrations expressed by Ministers, civil servants and the public alike.  
The Plan sets out the priorities for action now Â and is the first stage of the continuing programme of reform. ","From September 2013, the programme moved into tranche 2. The CSR Team undertook a process review over the summer to inform its approach to tranche 2, identifying areas for improvement and change, as we move into the different phase. Changes include: refining the governance, streamlining reporting processes prioritising programme effort and resources  accordingly, a new focus on departmental realisation of benefits and improving programme-wide risk and issues management. 

At a Programme level Civil Service Reform has had a number of key achievements since Q1, including the successful launch of the One Year On report and the ÂBe ExceptionalÂ Civil Service Live event, both in July. Also in this period a number of the ProgrammeÂs component Actions have moved through the Project Lifecycle to closure or are being embedded and translated into outcomes in Q2 .Further key milestones that have been achieved this quarter have been the completion of the first tranche of the Commissioning Academy, introduction of the CS High Potential Scheme, publication of the first edition of Civil Service Quarterly, launch of the Open Policy Making website in Beta, and the announcement of a new Commercial Model for government.   

Whist a number of issues and risks exist to the programme, these are being actively managed and do not pose an unacceptable level of risk to delivery of the programme.
",19/06/2012,31/12/2015,No departmental narrative,2.99,2.99,10.67,N/A variance less than 5%,"Costs cover the resources to control and ensure delivery of the CSR Plan, plus costs associated with facilitating the delivery of key priorities in the Plan. 

It is anticipated costs will remain within budget projections. 
",2014.0,,,,
677,Electoral Registration Transformation Programme,CO,Amber,"The Electoral Registration Transformation Programme will speed up implementation of the Individual Electoral Registration (IER) to tackle electoral fraud and improve the integrity of the electoral register. This will include legislation to bring forward implementation of compulsory IER to 2014, ahead of the next general election. Instead of one person filling in the annual registration form and including everyone's details, individuals will be expected to complete their own details and give supporting information - i.e. a national insurance number. There will be an element of 'confirmation' during the transition stage. Ensuring that the electoral register is as full as possible (i) will lead to increased democratic participation; (ii) gives a ÂvoiceÂ to local people leading to a legitimate political mandate; (iii) assists local people by supporting identification and residence, and (iv) is used as a basis for the collection of national statistics.                          ","The programme has made good progress, particularly in regard to benefits realisation. The critical components of the digital service have been built, including the online application, local authority EMS functionality, DWP matching capability, secure transfer methodology between local authorities and the IER Digital Service. A plan for live service support has been adopted and is being delivered. The forms for IER have been designated and hardware requirements to support them identified and payments to local authorities for these are  underway. The programme is on track for 'go-live' in June 2014.  While a number of issues and risks exist, these are being actively managed and do not pose any major risk to successful delivery of the programme.",01/02/2010,01/01/2016,"During this period some individual milestones have deviated slightly from the original schedule but the programme's critical milestones, overall timescale and original delivery dates remain on track.  ",26.05,26.05,170.92,N/A variance less than 5%,"The programme is scheduled to close 01/01/2016, so the budget spans the CSR 2010 period and FY 15/16 only.  FY 2013/14 will be key for the transition to IER therefore Electoral Registration Officers (EROs) needed to change the processes that are currently in place and the new process of confirmation will be tested in all local authorities in Great Britain for the first time. As all EROs will have to manage this change successfully in order to meet their legal responsibilities funding (RDEL) was therefore made available to prepare for the transition to IER. The remaining of the budget relates to programme staffing. CDEL for FY 2013/14 relates to the Digital project which is responsible for the delivery of the IT and Digital services. Once the asset is built this will enable and support the steady state running of the new service including: (I) the making of digital and non-digital applications (ii) the verification of applications using data provided by applicants against data held by the Department for Work and Pensions (confirmation only) (iii) the secure transfer of data across the system.  FY 2014/15 budget is substantially increased because this is when IER goes live across England and Wales, Scotland. Successfully completing the implementation of IER requires Ĺ65.5m which will allow the CO delivering against the four ERTP programme objectives (I) Improve the completeness and accuracy of the electoral register (ii) Tackle fraud and increase public confidence in the register (iii) Increase the registration of people historically and prospectively (under IER) under registered; and (iv) Provide greater citizen choice around how they register. The budgets and forecast are robust and accurate. FY15/16 and beyond need some further work to confirm validity when we have more evidence after the transition to IER is complete",2014.0,,,,
678,Next Generation Shared Services,CO,Amber/Red,"The NGSS Strategic plan (published 28 Dec 12) defines five centres for shared services, which accounts for all central government departments with the exception of FCO who are working on a separate international model but are still integral to the programme.  
Strategic goals: Create and operate a Crown Oversight Function (COF), to provide governance structure to monitor performance of all Shared Service Centres (SSCs) and Dept retained functions; Work effectively with DfT and DWP to create two Independent Shared Service Centre solutions (ISSCs), which will operate independently from any customer organisation, and work with targeted Depts. to transition current services to one of these two solutions; provide oversight, sharing of best practice and benchmarking facilities to those Depts. where it has been agreed they can remain stand alone (MoD, HMRC and MoJ). Ensure a lower cost ERP solution is available as part of the ISSC solutions, reduce dependency and cost on the current dominant ERP providers,  remove barriers to entry for smaller Depts. and organisations by reducing software and maintenance costs.
The Programme and strategic goals will be delivered by four component projects: 
1. ISSC 1 is based on the DfT SSC in Swansea and has been divested to arvato. This is now in the process of being novated to Cabinet Office. ISSC1 will include a Low Cost ERP platform for smaller Depts. NOTE - DfT divestment (basis for ISSC1) is subject of a separate GMPP report
2. ISSC2 will build out of DWP SSC, working in partnership with DEFRA, EA and BIS and is currently going through a commercial procurement to deliver a JV partnership Â this is due to complete in October 2013.
3. Crown Oversight Function is monitoring performance of all SSCs and Dept retained functions. Performance monitoring is being undertaken through centrally agreed benchmarks at both organisational level and process level for HR, finance and payroll. The COF will also include reporting benefits for the NGSS programme; 
4. Single Operating ERP Platform Project (SOP). A key objective of the NGSS Programme is to consolidate ERP solutions and deliver standard processes across central govt depts. Central govt has a large portfolio of Oracle ERP implementations which require some form of upgrade to Release 12 and Govt has an opportunity to consolidate a number of solutions on to one Oracle Platform.

","The programme has scheduled the ISSC1 on-boarding and 'go-live' timetable with a planned delivery date for the DfT Tranche 1 Migration of 1 July 2014, to ensure that the supplier's (arvato Ltd) hardware infrastructure is fully compliant with CESG accreditation.
The ISSC2 provider (Shared Services Connected Ltd) is working with customer organisations to ensure agreed services are delivered and a detailed Transformation Plan will be delivered by the end of April 2014. Business Assurance arrangements will also be in place by the end of April 2014. While a number of business and operational risks and issues exist across ISSC1 and ISSC2 these are being actively managed through more focussed and closer engagement with service suppliers and customer organisations alike and do not pose any major risk to successful delivery of the programme.",28/12/2012,30/04/2015,"The NGSS Programme is based in Cabinet Office and good progress has been made with the strategy and against the schedule and milestones. The 2nd shared service centre (SSC Ltd) was set up and began operations as a joint venture between Government and Steria Ltd in November 2013, going 'live' ahead of schedule.
The programme assumed management responsibility for the SSC Ltd Framework Contract in November 2013 and the ISSC1 Standard Build, delivering a core operating platform across its customer organisations, was completed in the same month.
ISSC1 customers HM Treasury, DCLG (Dept for Communities and Local Government) and DCMS (Dept for Culture, Media and Sport) signed Call-off contracts in January 2014 and the ISSC2 Stabilisation & Transition Phase was completed in February 2014, followed by the SOP (Standard Operating Platform) Core Design on 12 March 2014.",8,8,11.6,N/A variance less than 5%,No departmental narrative,2014.0,,,,
679,New Civil Service 2015 Pension Scheme Implementation,CO,Amber,"The purpose of the programme is to manage the successful delivery of the new pension arrangements against published timetables
Critical success factors:
Â New arrangements will be implemented from 1/4/2015 and arrangements will be in place to implement additional changes post 1 April 2015
Â Administration system, associated processes and all scheme documentation will be updated to be compliant with final regulations, enabling the scheme administrators (MyCSP Limited) to effectively manage membersÂ benefits under the new scheme in line with SMB Contract requirements
Â All members and prospective members will understand how they are affected by the new scheme, based on regular, clear and effective communication. Where members are able to choose when they transfer to the new scheme, members will have had  sufficient information to make a choice
Â All members will be in the correct scheme
","The 2015 New Pension Scheme Programme is part of a much wider Programme of Pension reform reporting in to HMT.  The estimated Programme costs which have been agreed and approved by the SRO and by HMT are Ĺ13.4 million over the Programme life. My CSP costs are monitored and scrutinised by the Programme and HMT.  Rigorous monitoring is applied to future  forecast spend which is agreed on a quarterly basis subject to SRO approval. The new 2015 pension scheme is being introduced as part of wider reform to public service pensions. The reforms are legislated under The Public Service Pensions Act 2013 and these measures are projected to save around Ĺ65 billion by 2061-62 (HM Treasury calculations based on Office of Budget ResponsibilityÂs Fiscal Sustainability Report 2012). While a number of risks and issues exist these are being actively managed and do not pose an unacceptable level of risk to the successful delivery of the programme.

",15/04/2013,30/06/2016,No departmental narrative,0,0,0,N/A variance less than 5%,The 2015 New Pension Scheme Programme is part of a much wider Programme of Pension reform reporting in to HMT.  The estimated Programme costs which have been agreed and approved by the SRO and by HMT are Ĺ13.4 million over the Programme life. My CSP costs are monitored and scrutinised by the Programme and HMT. The forecast spend is agreed on a quarterly basis subject to SRO approval. The Finance Directorate in Cabinet Office have confirmed they are content with the spend to date and the level of rigour and monitoring being applied to future forecast spends. The new 2015 pension scheme is being introduced as part of wider reform to public service pensions. The reforms are legislated under The Public Service Pensions Act 2013 and these measures are projected to save around Ĺ65 billion by 2061-62 (HM Treasury calculations based on Office of Budget ResponsibilityÂs Fiscal Sustainability Report 2012).,2014.0,,,,
680,Public Services Network Programme,CO,Amber,To create a secure Public Services Network comprising a network of networks built to common standards that enables the delivery of public services from any place by any provider; in doing so it will create a competitive marketplace to significantly reduce the cost of telecommunications services and enable different ways of delivering public services.,"Good progress has been made on improving the areas of the project related to Governance, Scope, Funding, Resourcing, Stakeholder Engagement and Communications, Compliance testing and approval, preparing for Business as Usual. The Governance issue, Scope and Compliance  have now been addressed. The funding issue will be closed out by the end of March 2014 which in turn addresses the resource issue. Stakeholder and Comms and preparation for Business as Usual are ongoing. BaU preparation expected to be complete by May 2014. While a number of risks and issues exist these are being actively managed and they do not pose a major risk to successful delivery of the programme.
",16/08/2012,13/10/2015,PSN has consistently achieved over 90% of its milestones against the ORIGINAL baseline.,0,0,27.28508537,N/A variance less than 5%,No departmental narrative,2014.0,,,,
